Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows
0.9448529411764706,0.3333333333333333,0.0,0.3238815374921235,0.9180612698765708,0,extrapolation,ProfileAnchor-Seq,0.01,272
0.9669117647058824,0.3333333333333333,0.0,0.3277258566978193,0.9506459593183068,0,extrapolation,ProfileAnchor-Seq,0.02,544
0.9681372549019608,0.2,0.0,0.1967621419676214,0.9524637999658144,0,extrapolation,ProfileAnchor-Seq,0.03,816
0.9772058823529411,0.25,0.1761130697450079,0.2776925939709713,0.966381488211213,0,extrapolation,ProfileAnchor-Seq,0.05,1360
0.9788602941176472,0.369047619047619,0.3829882420271361,0.389445642077221,0.9692503333225084,0,extrapolation,ProfileAnchor-Seq,0.08,2176
0.9797794117647058,0.3714285714285714,0.390295129036824,0.3913926241512448,0.9705999705334138,0,extrapolation,ProfileAnchor-Seq,0.1,2720
0.9665441176470588,0.3602699303405572,0.5693906926745386,0.3609720821041459,0.9512349641038348,0,extrapolation,ProfileAnchor-Seq,0.2,5440
0.9485294117647058,0.2855315654432602,0.5839073783030857,0.2945096727075733,0.9266784939738444,0,extrapolation,ProfileAnchor-Seq,0.3,8160
0.921875,0.2527745089317157,0.607958524049446,0.2570978361223318,0.8905455080647543,0,extrapolation,ProfileAnchor-Seq,0.4,10880
0.8936764705882353,0.243637959658175,0.6333247932488676,0.2505474845804619,0.853870609956285,0,extrapolation,ProfileAnchor-Seq,0.5,13600
1.0,1.0,1.0,1.0,1.0,1,extrapolation,ProfileAnchor-Seq,0.01,272
0.9944852941176472,0.6666666666666666,0.9270264257205296,0.6657115568290354,0.9917358419012304,1,extrapolation,ProfileAnchor-Seq,0.02,544
0.991421568627451,0.6,0.8845406726302585,0.5991099809281628,0.9871514403599966,1,extrapolation,ProfileAnchor-Seq,0.03,816
0.9882352941176472,0.6,0.8171324902524406,0.5957854204953181,0.982389966488039,1,extrapolation,ProfileAnchor-Seq,0.05,1360
0.9852941176470588,0.4166666666666667,0.7497198499169214,0.4392952740850709,0.978154147671114,1,extrapolation,ProfileAnchor-Seq,0.08,2176
0.9841911764705882,0.4166666666666667,0.7481853956727533,0.4401747969678122,0.976474369737958,1,extrapolation,ProfileAnchor-Seq,0.1,2720
0.96875,0.3366287292192593,0.7931530806456228,0.3481251721292406,0.9553221167878686,1,extrapolation,ProfileAnchor-Seq,0.2,5440
0.960171568627451,0.2895006774073845,0.8253970913987422,0.2859797149393468,0.9439462546236344,1,extrapolation,ProfileAnchor-Seq,0.3,8160
0.9465073529411764,0.2981407781633996,0.8019368357945263,0.2966132965032751,0.9257146102146644,1,extrapolation,ProfileAnchor-Seq,0.4,10880
0.9126470588235294,0.298937546283538,0.7402471898259291,0.2773000830795368,0.8815520181167105,1,extrapolation,ProfileAnchor-Seq,0.5,13600
1.0,1.0,1.0,1.0,1.0,2,extrapolation,ProfileAnchor-Seq,0.01,272
0.9908088235294118,0.6666666666666666,0.9386498855639483,0.6650049850448654,0.9862361445076536,2,extrapolation,ProfileAnchor-Seq,0.02,544
0.9791666666666666,0.7496584699453552,0.8858249307284792,0.744989684644857,0.9694736279421878,2,extrapolation,ProfileAnchor-Seq,0.03,816
0.9720588235294118,0.7978342869251961,0.8847555296410287,0.7935172642578718,0.959759350897078,2,extrapolation,ProfileAnchor-Seq,0.05,1360
0.9609375,0.5533755275729568,0.8431856158191057,0.5459057430804276,0.9452505857473464,2,extrapolation,ProfileAnchor-Seq,0.08,2176
0.9580882352941176,0.3865180171739555,0.8431288744833371,0.3798439073231371,0.94130051628873,2,extrapolation,ProfileAnchor-Seq,0.1,2720
0.9472426470588236,0.3480790185514007,0.8353501466516409,0.333688810344857,0.9277908750902678,2,extrapolation,ProfileAnchor-Seq,0.2,5440
0.9376225490196078,0.3467931132670557,0.8144705749176079,0.3313016115460561,0.9139914747354504,2,extrapolation,ProfileAnchor-Seq,0.3,8160
0.9179227941176472,0.3339064542391497,0.771932481329975,0.321059087931678,0.8873204905228886,2,extrapolation,ProfileAnchor-Seq,0.4,10880
0.8935294117647059,0.3053697871441678,0.7301125190690747,0.2747004105269264,0.8556688924088655,2,extrapolation,ProfileAnchor-Seq,0.5,13600
0.9963235294117648,0.75,0.952216267139298,0.7495219885277247,0.9944888089078844,3,extrapolation,ProfileAnchor-Seq,0.01,272
0.9944852941176472,0.75,0.9158880597546888,0.7492877492877493,0.9917357968828558,3,extrapolation,ProfileAnchor-Seq,0.02,544
0.9865196078431372,0.548235294117647,0.7995030554241473,0.5703256473654956,0.9809651468737304,3,extrapolation,ProfileAnchor-Seq,0.03,816
0.9823529411764704,0.6183333333333333,0.7467935836214957,0.6347345956992748,0.974601175449291,3,extrapolation,ProfileAnchor-Seq,0.05,1360
0.9806985294117648,0.5175983436853002,0.7390993166374045,0.5367546671096867,0.9721431055043436,3,extrapolation,ProfileAnchor-Seq,0.08,2176
0.9779411764705882,0.4612209282651467,0.6962436525954048,0.500149936136889,0.968279270603889,3,extrapolation,ProfileAnchor-Seq,0.1,2720
0.9542279411764706,0.3821684187333315,0.6536520782039995,0.4071320771335065,0.9343722931022586,3,extrapolation,ProfileAnchor-Seq,0.2,5440
0.940563725490196,0.3082601149965692,0.708939750840775,0.3196144452914435,0.9168649361687664,3,extrapolation,ProfileAnchor-Seq,0.3,8160
0.91875,0.3232910729923013,0.7077688406954922,0.3287836999204499,0.8874703975722519,3,extrapolation,ProfileAnchor-Seq,0.4,10880
0.9003676470588236,0.2960359802626415,0.7007972368148593,0.2959705358317111,0.8643383556387045,3,extrapolation,ProfileAnchor-Seq,0.5,13600
1.0,1.0,1.0,1.0,1.0,4,extrapolation,ProfileAnchor-Seq,0.01,272
0.9871323529411764,0.725,0.8962858557615028,0.7351280993865663,0.9824841259252296,4,extrapolation,ProfileAnchor-Seq,0.02,544
0.9816176470588236,0.5726851851851852,0.8475288838790965,0.5839042251429181,0.9742875048579516,4,extrapolation,ProfileAnchor-Seq,0.03,816
0.9830882352941176,0.4744318181818182,0.823121521990883,0.4815833195587032,0.9761221165834828,4,extrapolation,ProfileAnchor-Seq,0.05,1360
0.9802389705882352,0.3603846153846154,0.7864953115090406,0.3573884973359687,0.9714032497762384,4,extrapolation,ProfileAnchor-Seq,0.08,2176
0.9790441176470588,0.3562365591397849,0.791219574261787,0.3556045841760127,0.9699505658119104,4,extrapolation,ProfileAnchor-Seq,0.1,2720
0.953125,0.3018898024740588,0.745082040109039,0.3063810053842651,0.9336446544420935,4,extrapolation,ProfileAnchor-Seq,0.2,5440
0.9191176470588236,0.2951460033858704,0.7237195519979713,0.2848534619651532,0.8868920263295119,4,extrapolation,ProfileAnchor-Seq,0.3,8160
0.907904411764706,0.2900025601312242,0.7464826099709483,0.2857654905418988,0.8727732757301627,4,extrapolation,ProfileAnchor-Seq,0.4,10880
0.8936029411764705,0.2895880065352296,0.7387706104213916,0.2722536757487832,0.8559037401068473,4,extrapolation,ProfileAnchor-Seq,0.5,13600
1.0,1.0,1.0,1.0,1.0,5,extrapolation,ProfileAnchor-Seq,0.01,272
0.9926470588235294,0.6666666666666666,0.8793268050201939,0.6654040404040403,0.9889845142602496,5,extrapolation,ProfileAnchor-Seq,0.02,544
0.9889705882352942,0.6666666666666666,0.827212604812329,0.6647715308485997,0.9834872357028724,5,extrapolation,ProfileAnchor-Seq,0.03,816
0.9882352941176472,0.4,0.7834419118954621,0.3987933634992459,0.9823884304853164,5,extrapolation,ProfileAnchor-Seq,0.05,1360
0.9857536764705882,0.3571428571428571,0.7251032218923805,0.3758957289670399,0.9788423112243252,5,extrapolation,ProfileAnchor-Seq,0.08,2176
0.9830882352941176,0.3333333333333333,0.7211783848729295,0.3655079215050859,0.9750921344908476,5,extrapolation,ProfileAnchor-Seq,0.1,2720
0.9612132352941176,0.304555444639247,0.6851965024299489,0.3124249713811059,0.9448300133735332,5,extrapolation,ProfileAnchor-Seq,0.2,5440
0.9370098039215686,0.3218218026455066,0.6904664933913547,0.3133758688977386,0.9115178950575912,5,extrapolation,ProfileAnchor-Seq,0.3,8160
0.9227941176470588,0.3199220168211654,0.7045805184165362,0.2757375556322723,0.8938798058623838,5,extrapolation,ProfileAnchor-Seq,0.4,10880
0.9003676470588236,0.3157331274184117,0.6907749369596734,0.2597165669356931,0.8675025393111816,5,extrapolation,ProfileAnchor-Seq,0.5,13600
1.0,1.0,1.0,1.0,1.0,6,extrapolation,ProfileAnchor-Seq,0.01,272
1.0,1.0,1.0,1.0,1.0,6,extrapolation,ProfileAnchor-Seq,0.02,544
0.9950980392156864,0.6875,0.9239674786279728,0.7136528028933092,0.993178473921214,6,extrapolation,ProfileAnchor-Seq,0.03,816
0.9941176470588236,0.7,0.9025715434244774,0.7214646464646465,0.9918389780154486,6,extrapolation,ProfileAnchor-Seq,0.05,1360
0.9912683823529412,0.7519736842105262,0.84873615529434,0.773007230941198,0.9879873353456003,6,extrapolation,ProfileAnchor-Seq,0.08,2176
0.9878676470588236,0.746969696969697,0.8069624184539789,0.7700545845236821,0.9832044665259962,6,extrapolation,ProfileAnchor-Seq,0.1,2720
0.9720588235294118,0.3716471734892788,0.7079521184312606,0.3796119740046717,0.9603398906834192,6,extrapolation,ProfileAnchor-Seq,0.2,5440
0.9447303921568628,0.3392755921459853,0.6888966567888587,0.3090939668752406,0.92211406241371,6,extrapolation,ProfileAnchor-Seq,0.3,8160
