method,split,coverage,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,MCC_mean,MCC_std,F1_macro_mean,F1_macro_std,F1_weighted_mean,F1_weighted_std,kept_rows_mean,kept_rows_std
cat,extrapolation,0.01,0.9766042780748663,0.041178857837597456,0.7045454545454546,0.2919371040605711,0.16034377326737417,0.3219890217064478,0.6825573196131584,0.31662039502710837,0.9716633939920682,0.042570816081244495,272.0,0.0
cat,extrapolation,0.02,0.9685828877005348,0.03932667629667636,0.4727272727272727,0.2037526724122938,0.21991881348449238,0.2834534188680044,0.43180381306730475,0.22448462449916745,0.9617086607119046,0.04189096739384126,544.0,0.0
cat,extrapolation,0.03,0.9615641711229947,0.03883188694051508,0.31363636363636366,0.08426749136535454,0.2510916360870126,0.26340935817765027,0.27657980190236503,0.05940720444221337,0.9538432503496247,0.04148452445010762,816.0,0.0
cat,extrapolation,0.05,0.9563502673796791,0.032103437533673146,0.30230459504653057,0.07906034587187208,0.3648105376145084,0.19923523148426717,0.2512201145092621,0.06847971954243301,0.9453956145981848,0.03503919671454037,1360.0,0.0
cat,extrapolation,0.08,0.9528325534759358,0.027489357377737503,0.24937753549538455,0.03959264198158505,0.4358587643616044,0.15271285540967908,0.20431119294038422,0.04344757358486806,0.938712081560642,0.03197277512903552,2176.0,0.0
cat,extrapolation,0.1,0.9510026737967915,0.024434063007254144,0.24312241091002776,0.04074463263001834,0.47481010850993594,0.11941330827780937,0.19556185790435707,0.03806660589654517,0.9352973531713515,0.029492260730897384,2720.0,0.0
cat,extrapolation,0.2,0.9354445187165775,0.011239367507103559,0.20925631779663975,0.02035087327875497,0.5158437652765655,0.07313955372458064,0.17449512929167288,0.01786482068718585,0.9101674527808051,0.01504068832472965,5440.0,0.0
cat,extrapolation,0.3,0.9212232620320855,0.006204374551069259,0.1768989812705957,0.01132401642599739,0.5458053544515576,0.026125820548410807,0.1575454753541685,0.011223204678407206,0.8890592182269151,0.008715063592465957,8160.0,0.0
cat,extrapolation,0.4,0.906091243315508,0.004771998441276472,0.17064847229218208,0.0065001933314031155,0.5710547385338848,0.014678526290782519,0.15938773891296007,0.00651544863442968,0.8687182219673876,0.006740868697120196,10880.0,0.0
cat,extrapolation,0.5,0.88399064171123,0.007016423740594742,0.17695708781070976,0.008295387594556936,0.5883971452279707,0.021401469277225877,0.17220977068627294,0.013664986436438887,0.8404707285928305,0.008566548460405674,13600.0,0.0
geoshift_seq,extrapolation,0.01,0.9806149732620321,0.018017775030491068,0.661553004492227,0.17207726664602593,0.702735373166571,0.36178720722585084,0.6515140429356591,0.17325135575466052,0.9726075598272582,0.02690390660239465,272.0,0.0
geoshift_seq,extrapolation,0.02,0.9786096256684492,0.01553874825682933,0.6088459504137396,0.15831652533407192,0.7156407534119823,0.2639747610287797,0.592404701142912,0.1681679660960272,0.971520757688317,0.018153907710491198,544.0,0.0
geoshift_seq,extrapolation,0.03,0.9786096256684491,0.014189923794610182,0.5645261286832438,0.07479934146953705,0.7194118816213423,0.20134124795144792,0.5441087363638563,0.09378497565893017,0.9726811587895512,0.013739780533808815,816.0,0.0
