method,split,coverage,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,MCC_mean,MCC_std,F1_macro_mean,F1_macro_std,F1_weighted_mean,F1_weighted_std,kept_rows_mean,kept_rows_std
ProfileAnchor-Seq,external,0.01,0.9757575757575758,0.051296326684404335,0.9090909090909091,0.1556997888323046,0.9317043791004083,0.15442339493942703,0.9041359085852968,0.16427694918513813,0.964521185155223,0.07462418137945084,18.0,2.4083189157584592
ProfileAnchor-Seq,external,0.03,0.9873394892929745,0.010932128501912415,0.8164671101256467,0.17342916082164914,0.9417869993008723,0.06158512924948088,0.8077038233345012,0.1785805253289113,0.9828617153133792,0.014450435574708518,53.63636363636363,7.103136311133657
ProfileAnchor-Seq,external,0.05,0.9806791992969658,0.015418200693916726,0.7671582645525882,0.15230223212216826,0.9418133310575763,0.046670611008551244,0.7183097628278498,0.20032503840178004,0.9755178100568451,0.01945946340017801,89.63636363636364,11.655665809148163
ProfileAnchor-Seq,external,0.08,0.9825833110980821,0.008398861418505862,0.7404029866353979,0.17101244505304927,0.9205287410015494,0.05492357470310698,0.7324825917587315,0.16858423429629005,0.9760826822391092,0.013730300300185058,143.45454545454547,18.570749238324424
ProfileAnchor-Seq,external,0.1,0.9806848438388429,0.008760202578451077,0.695372820738622,0.1624379567026009,0.9371199084461121,0.032686405767840536,0.6892944823643666,0.16258595678627674,0.9728140555142054,0.014292076984238343,179.27272727272728,23.362752017221386
ProfileAnchor-Seq,external,0.2,0.9648498935241464,0.016062395568341242,0.5828192956371286,0.09401385551455639,0.9004209361980332,0.04035324724519002,0.5727592500001797,0.09522008525415111,0.9505200081329185,0.023819654244707517,358.6363636363636,46.76167817192349
ProfileAnchor-Seq,external,0.4,0.9149306464584893,0.029242490164042567,0.6117691475774181,0.0569462208467847,0.824181872911183,0.056281443548571786,0.595385493328242,0.056815178562942645,0.89729679537547,0.03349400091476764,717.4545454545455,93.36526510042547
cat,external,0.01,0.9813397129186602,0.025903468399903515,0.8181818181818182,0.2522624895547565,0.0,0.0,0.8133938133938134,0.2589056693439219,0.9722554354133301,0.03851354174390247,18.0,2.4083189157584592
cat,external,0.03,0.9729623013994245,0.035619311061044046,0.6969696969696969,0.2964435660944387,0.0,0.0,0.6914442874597965,0.3023233947895556,0.9599353195153899,0.05255811393606693,53.63636363636363,7.103136311133657
cat,external,0.05,0.9791435767253553,0.028371713111020894,0.6969696969696969,0.2964435660944387,0.09090909090909091,0.30151134457776363,0.6927190886086202,0.3009387172487741,0.9690179291214459,0.04195971840788431,89.63636363636364,11.655665809148163
