method,split,coverage,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,MCC_mean,MCC_std,F1_macro_mean,F1_macro_std,F1_weighted_mean,F1_weighted_std,kept_rows_mean,kept_rows_std
ProfileAnchor-Seq,extrapolation,0.01,0.9946524064171123,0.016553399060213633,0.9166666666666667,0.20749832663314555,0.9047469333762997,0.3004128278573825,0.9157639569108954,0.2101957632938199,0.9920500071622232,0.024594923204121356,272.0,0.0
ProfileAnchor-Seq,extrapolation,0.02,0.9866310160427808,0.010336405692311512,0.7083864965443912,0.15693141093092416,0.7968249987860101,0.27297105935790994,0.7134425778980804,0.15863292166423493,0.98046840733188,0.015234972898550235,544.0,0.0
ProfileAnchor-Seq,extrapolation,0.03,0.9840686274509803,0.00784696597724619,0.6384966876938912,0.16682640293104517,0.7697465614286796,0.2592096844224084,0.6475207466396026,0.16910237595579963,0.9768040827271356,0.011636454396483725,816.0,0.0
ProfileAnchor-Seq,extrapolation,0.05,0.9824197860962567,0.00758069724665999,0.5827926728174552,0.16603373895196674,0.7535770949925684,0.19968945174498484,0.5896407666153992,0.16544241995435296,0.9745574914415213,0.011082931438806128,1360.0,0.0
ProfileAnchor-Seq,extrapolation,0.08,0.9805731951871658,0.00842658695358797,0.4825421064529802,0.11399694747891949,0.7476889216153425,0.13081352696512868,0.49030708663353645,0.11515662368532505,0.9720106442014212,0.011886286646433881,2176.0,0.0
ProfileAnchor-Seq,extrapolation,0.1,0.9790106951871658,0.008290346688933562,0.4474993784676247,0.1114867893611099,0.7395906410532324,0.12521562290022348,0.4582850767589541,0.11482581863129603,0.9698655712908558,0.011569635458137894,2720.0,0.0
ProfileAnchor-Seq,extrapolation,0.2,0.9628342245989305,0.007852005730000316,0.37917064773843107,0.03859744433160478,0.7489410757667204,0.08522607970628791,0.35888866440111805,0.04078364501825934,0.9481626122071674,0.009856663725697443,5440.0,0.0
ProfileAnchor-Seq,extrapolation,0.3,0.9427696078431373,0.009771853189828043,0.3492487152272309,0.01642988572951862,0.7447495234651501,0.061653021995954016,0.3175337661910287,0.036688548274163436,0.9210726066635379,0.013274367902717174,8160.0,0.0
ProfileAnchor-Seq,extrapolation,0.4,0.9204879679144384,0.009065077501691372,0.32501564489300555,0.02166170812300039,0.7337393936972859,0.05139653757278441,0.2831305851706078,0.029697903630898907,0.892325405798916,0.011695923063253635,10880.0,0.0
ProfileAnchor-Seq,extrapolation,0.5,0.8927673796791443,0.008549815398414458,0.3190720369932977,0.016712441078542997,0.6990004122260313,0.02222178552153891,0.2561673016389088,0.013073046781672298,0.8597751564487901,0.011372406489661514,13600.0,0.0
