Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,window,epochs,hidden,train_time
1.0,1.0,1.0,1.0,1.0,0,interpolation,adaboost_transformer_margin,0.01,80,31,8,96,8.713518619537354
0.9375,0.5,0.6617432637753965,0.4575292977354833,0.9089396642876023,0,interpolation,adaboost_transformer_margin,0.02,160,31,8,96,8.713518619537354
0.9291666666666667,0.5,0.7117907750563167,0.479319258940112,0.895285796352147,0,interpolation,adaboost_transformer_margin,0.03,240,31,8,96,8.713518619537354
0.9175,0.49159356725146197,0.6447575381655712,0.46847224404980176,0.8835403897532611,0,interpolation,adaboost_transformer_margin,0.05,400,31,8,96,8.713518619537354
0.925,0.39685425685425685,0.6716839381065712,0.38918010490154414,0.896559295821079,0,interpolation,adaboost_transformer_margin,0.08,640,31,8,96,8.713518619537354
0.92375,0.3424744897959184,0.6700526125061096,0.33844979647218454,0.8969549977385799,0,interpolation,adaboost_transformer_margin,0.1,800,31,8,96,8.713518619537354
0.918125,0.40198774367421003,0.6867838193767719,0.45332722300264383,0.89655554258568,0,interpolation,adaboost_transformer_margin,0.2,1600,31,8,96,8.713518619537354
0.89375,0.41919566504975414,0.6528642678948958,0.4644878216358502,0.8679741527911805,0,interpolation,adaboost_transformer_margin,0.3,2400,31,8,96,8.713518619537354
0.8675,0.4152018885642475,0.6257403054045123,0.451460816123845,0.8397168688607697,0,interpolation,adaboost_transformer_margin,0.4,3200,31,8,96,8.713518619537354
0.839,0.4092090627634008,0.5875592058990363,0.44156885797242607,0.8119221127404029,0,interpolation,adaboost_transformer_margin,0.5,4000,31,8,96,8.713518619537354
0.69575,0.398099148323262,0.4589862537938299,0.4228722743553894,0.6829307138191559,0,interpolation,adaboost_transformer_full,1.0,8000,31,8,96,8.713518619537354
0.7132352941176471,0.25,0.43868338229015846,0.24433249370277077,0.6970662320343755,0,extrapolation,adaboost_transformer_margin,0.01,272,31,8,96,8.713518619537354
0.7775735294117647,0.14285714285714285,0.4264162429959223,0.139557901682613,0.7596157111805462,0,extrapolation,adaboost_transformer_margin,0.02,544,31,8,96,8.713518619537354
0.7720588235294118,0.21428571428571427,0.4483228897158209,0.1483017454755453,0.7527813414923503,0,extrapolation,adaboost_transformer_margin,0.03,816,31,8,96,8.713518619537354
0.7580882352941176,0.25510204081632654,0.47436089683737964,0.15879245884968546,0.7339892813011869,0,extrapolation,adaboost_transformer_margin,0.05,1360,31,8,96,8.713518619537354
0.7872242647058824,0.24249264251716746,0.5301985194853772,0.16206945770620257,0.7487789389013995,0,extrapolation,adaboost_transformer_margin,0.08,2176,31,8,96,8.713518619537354
0.805514705882353,0.21734148652117155,0.5564486096215722,0.15334980520576896,0.7618331808490526,0,extrapolation,adaboost_transformer_margin,0.1,2720,31,8,96,8.713518619537354
0.8402573529411764,0.1960414357250298,0.6302838210694602,0.16051465391922917,0.78822738089178,0,extrapolation,adaboost_transformer_margin,0.2,5440,31,8,96,8.713518619537354
0.8386029411764706,0.1957432676694654,0.6495066873154267,0.16792999379990478,0.7812441737574073,0,extrapolation,adaboost_transformer_margin,0.3,8160,31,8,96,8.713518619537354
0.8278492647058824,0.2687331989505822,0.6377828455987352,0.24611413585638955,0.7679457633715714,0,extrapolation,adaboost_transformer_margin,0.4,10880,31,8,96,8.713518619537354
0.8175,0.24629160038915443,0.622933555117703,0.19950501915041552,0.7570156602681976,0,extrapolation,adaboost_transformer_margin,0.5,13600,31,8,96,8.713518619537354
0.6734191176470589,0.2230388261122286,0.45368687553794174,0.21872635976482746,0.622441624387197,0,extrapolation,adaboost_transformer_full,1.0,27200,31,8,96,8.713518619537354
1.0,1.0,1.0,1.0,1.0,1,interpolation,adaboost_transformer_margin,0.01,80,31,8,96,8.072163343429565
1.0,1.0,1.0,1.0,1.0,1,interpolation,adaboost_transformer_margin,0.02,160,31,8,96,8.072163343429565
0.9916666666666667,0.6666666666666666,0.9811090504685279,0.6656626506024096,0.9875251004016065,1,interpolation,adaboost_transformer_margin,0.03,240,31,8,96,8.072163343429565
0.965,0.6649659863945578,0.9184351670894564,0.6612367838701746,0.9491135972461273,1,interpolation,adaboost_transformer_margin,0.05,400,31,8,96,8.072163343429565
0.95625,0.5770909188263011,0.896379931993888,0.5816820845985452,0.9394231957488877,1,interpolation,adaboost_transformer_margin,0.08,640,31,8,96,8.072163343429565
0.9525,0.5566689910100396,0.8834324967693902,0.49032985582936145,0.9371260690261297,1,interpolation,adaboost_transformer_margin,0.1,800,31,8,96,8.072163343429565
0.9375,0.4818436354322775,0.8403527899591248,0.49909182987197087,0.9228804037515406,1,interpolation,adaboost_transformer_margin,0.2,1600,31,8,96,8.072163343429565
0.91,0.41653404117180964,0.772482739095752,0.45227153123463504,0.8941191334790501,1,interpolation,adaboost_transformer_margin,0.3,2400,31,8,96,8.072163343429565
0.875625,0.42140195395257807,0.70094505162721,0.46308388321906846,0.858729952314321,1,interpolation,adaboost_transformer_margin,0.4,3200,31,8,96,8.072163343429565
0.849,0.3926797093436512,0.6512499906804546,0.4309382735871561,0.8345868826994174,1,interpolation,adaboost_transformer_margin,0.5,4000,31,8,96,8.072163343429565
0.688625,0.356385086993993,0.4353213318161886,0.3760204147639498,0.6979585067547853,1,interpolation,adaboost_transformer_full,1.0,8000,31,8,96,8.072163343429565
