Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,window,epochs,hidden,train_time
0.975,0.6666666666666666,0.857223290949363,0.6621004566210046,0.9626712328767123,0,interpolation,att_cnn_margin,0.01,80,31,8,96,7.98726224899292
0.975,0.7333333333333334,0.7913696015135542,0.7733627667402502,0.9668322295805739,0,interpolation,att_cnn_margin,0.02,160,31,8,96,7.98726224899292
0.9708333333333333,0.611111111111111,0.8396713993994559,0.6306636155606408,0.9631502669717773,0,interpolation,att_cnn_margin,0.03,240,31,8,96,7.98726224899292
0.9475,0.5266734279918864,0.7913589937466665,0.5333788618871343,0.9324629822563767,0,interpolation,att_cnn_margin,0.05,400,31,8,96,7.98726224899292
0.9140625,0.5325130797197837,0.6841636834589935,0.507600927634899,0.9002554014589185,0,interpolation,att_cnn_margin,0.08,640,31,8,96,7.98726224899292
0.88125,0.5095208063450386,0.5987080186106807,0.48651374775411554,0.8659916471185893,0,interpolation,att_cnn_margin,0.1,800,31,8,96,7.98726224899292
0.834375,0.5433736099460663,0.5151846808536522,0.5111775058346714,0.8316792493163375,0,interpolation,att_cnn_margin,0.2,1600,31,8,96,7.98726224899292
0.8116666666666666,0.4999224537804239,0.5109892368787405,0.47500679523742934,0.8126016762010012,0,interpolation,att_cnn_margin,0.3,2400,31,8,96,7.98726224899292
0.765,0.5009359974616183,0.4636751641331861,0.458297345192927,0.7636238464872772,0,interpolation,att_cnn_margin,0.4,3200,31,8,96,7.98726224899292
0.737,0.5051298018470958,0.45424399783862934,0.4552908076028539,0.7396874427824044,0,interpolation,att_cnn_margin,0.5,4000,31,8,96,7.98726224899292
0.63125,0.46279302381827825,0.4065771111189279,0.40914356132890883,0.648373038844809,0,interpolation,att_cnn_full,1.0,8000,31,8,96,7.98726224899292
0.9705882352941176,0.42857142857142855,0.5180216795141844,0.4469811320754717,0.9588616814650388,0,extrapolation,att_cnn_margin,0.01,272,31,8,96,7.98726224899292
0.8400735294117647,0.3309548457063985,0.518767085497136,0.2510979205462446,0.8111440304706613,0,extrapolation,att_cnn_margin,0.02,544,31,8,96,7.98726224899292
0.7953431372549019,0.298319789150011,0.5047734066305537,0.2128753899013537,0.7677472145005814,0,extrapolation,att_cnn_margin,0.03,816,31,8,96,7.98726224899292
0.8264705882352941,0.27573461767411656,0.5183139063016032,0.19566194006192417,0.7985998112457493,0,extrapolation,att_cnn_margin,0.05,1360,31,8,96,7.98726224899292
0.8556985294117647,0.2870111637683171,0.5876788148843127,0.21665503008889533,0.8195274553386378,0,extrapolation,att_cnn_margin,0.08,2176,31,8,96,7.98726224899292
0.8573529411764705,0.2916348962717235,0.6178055886653827,0.21120121729259722,0.8161999595166739,0,extrapolation,att_cnn_margin,0.1,2720,31,8,96,7.98726224899292
0.8670955882352941,0.26851584031745845,0.6955686601723854,0.19995964926860674,0.8212243748096173,0,extrapolation,att_cnn_margin,0.2,5440,31,8,96,7.98726224899292
0.8492647058823529,0.2718248658020563,0.6737370777515327,0.20055255753848378,0.8004885176154922,0,extrapolation,att_cnn_margin,0.3,8160,31,8,96,7.98726224899292
0.8292279411764706,0.2795430795143509,0.6437474325719276,0.21399171633609407,0.7787695610094189,0,extrapolation,att_cnn_margin,0.4,10880,31,8,96,7.98726224899292
