Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,window,epochs,hidden,train_time
0.85,0.6271604938271605,0.6985819821420836,0.5951690821256038,0.7993236714975845,0,interpolation,cwscf_margin,0.01,80,31,8,96,7.18070125579834
0.8125,0.633938525242873,0.6048863809856686,0.48462104241150245,0.7968616597666509,0,interpolation,cwscf_margin,0.02,160,31,8,96,7.18070125579834
0.775,0.5441783649876135,0.5531577778501958,0.4874766761176497,0.7741812968232847,0,interpolation,cwscf_margin,0.03,240,31,8,96,7.18070125579834
0.765,0.5467857142857143,0.49442449913360864,0.48363554270600745,0.7737332255248297,0,interpolation,cwscf_margin,0.05,400,31,8,96,7.18070125579834
0.7671875,0.5727268956363033,0.47020206030127204,0.5029877145202687,0.7720181506440416,0,interpolation,cwscf_margin,0.08,640,31,8,96,7.18070125579834
0.77,0.5061301086591743,0.46487940435238867,0.4718736681236165,0.7747550127319187,0,interpolation,cwscf_margin,0.1,800,31,8,96,7.18070125579834
0.805,0.5871802725587041,0.5486428293033521,0.5328336069182451,0.8130982590007545,0,interpolation,cwscf_margin,0.2,1600,31,8,96,7.18070125579834
0.79125,0.5654656230434284,0.5572827602365389,0.5298021815763625,0.7990220596140956,0,interpolation,cwscf_margin,0.3,2400,31,8,96,7.18070125579834
0.7696875,0.5427574489499527,0.5443131022429729,0.5081365034045598,0.777063192635411,0,interpolation,cwscf_margin,0.4,3200,31,8,96,7.18070125579834
0.74825,0.5207112380429801,0.5230840088801748,0.4868948407445436,0.7557619533126048,0,interpolation,cwscf_margin,0.5,4000,31,8,96,7.18070125579834
0.636375,0.4681664662170904,0.4221362846290797,0.4281429273634627,0.6591423055810306,0,interpolation,cwscf_full,1.0,8000,31,8,96,7.18070125579834
0.7830882352941176,0.2469135802469136,0.26884856126612533,0.23887709365416368,0.6952619582864994,0,extrapolation,cwscf_margin,0.01,272,31,8,96,7.18070125579834
0.6930147058823529,0.25895895895895893,0.3591567466663792,0.22215720160384192,0.6313320558190937,0,extrapolation,cwscf_margin,0.02,544,31,8,96,7.18070125579834
0.7401960784313726,0.2901319955489158,0.4046591846194309,0.2383314233872893,0.678113506092166,0,extrapolation,cwscf_margin,0.03,816,31,8,96,7.18070125579834
0.8205882352941176,0.3229877609342646,0.4967589211824948,0.29715863529012315,0.7663117781872107,0,extrapolation,cwscf_margin,0.05,1360,31,8,96,7.18070125579834
0.8676470588235294,0.3033694376924745,0.5790313941671608,0.2932731571029443,0.8221647600852074,0,extrapolation,cwscf_margin,0.08,2176,31,8,96,7.18070125579834
0.8808823529411764,0.2910850053588642,0.6275064569561838,0.28756281426090846,0.8386223591885992,0,extrapolation,cwscf_margin,0.1,2720,31,8,96,7.18070125579834
0.8920955882352941,0.3289923712059659,0.6909133832585805,0.30730822737156194,0.8528622275861372,0,extrapolation,cwscf_margin,0.2,5440,31,8,96,7.18070125579834
0.8790441176470588,0.32822286458824707,0.7003795020063011,0.3088692224721534,0.8368256627181914,0,extrapolation,cwscf_margin,0.3,8160,31,8,96,7.18070125579834
0.8538602941176471,0.3181713556670941,0.6719264111089707,0.3008110714375205,0.8076724660077766,0,extrapolation,cwscf_margin,0.4,10880,31,8,96,7.18070125579834
0.8360294117647059,0.31789786042341356,0.6490009180782791,0.2906104428797434,0.7898824487463234,0,extrapolation,cwscf_margin,0.5,13600,31,8,96,7.18070125579834
0.695,0.26370622556240453,0.48762053073235195,0.2129425692383529,0.6499557166855513,0,extrapolation,cwscf_full,1.0,27200,31,8,96,7.18070125579834
0.8625,0.6615384615384615,0.503994154399279,0.6099847394811424,0.8050196206671026,1,interpolation,cwscf_margin,0.01,80,31,8,96,6.736449718475342
0.875,0.5970149253731343,0.47736901934705106,0.5573440643863179,0.8231639839034205,1,interpolation,cwscf_margin,0.02,160,31,8,96,6.736449718475342
0.9,0.5979695431472081,0.6478152514588672,0.5598343685300207,0.8571773636991028,1,interpolation,cwscf_margin,0.03,240,31,8,96,6.736449718475342
0.9325,0.5948166017195522,0.7991970135662861,0.567578401675784,0.903946908389469,1,interpolation,cwscf_margin,0.05,400,31,8,96,6.736449718475342
0.9390625,0.4971038990308767,0.8143714455929334,0.4665479798833414,0.913039161004631,1,interpolation,cwscf_margin,0.08,640,31,8,96,6.736449718475342
0.93375,0.4959198282032928,0.8000320985261877,0.45842025092731475,0.9059970872431715,1,interpolation,cwscf_margin,0.1,800,31,8,96,6.736449718475342
0.9075,0.4573106372445365,0.740655811783769,0.47356151494553567,0.8963244871419388,1,interpolation,cwscf_margin,0.2,1600,31,8,96,6.736449718475342
0.875,0.4047113070384831,0.6865395895122207,0.39706180148472026,0.8684834599365433,1,interpolation,cwscf_margin,0.3,2400,31,8,96,6.736449718475342
0.8446875,0.3944332084037966,0.6465966534912269,0.38207647237543096,0.8380467905086583,1,interpolation,cwscf_margin,0.4,3200,31,8,96,6.736449718475342
0.80275,0.38918886990746715,0.5816768869679256,0.38362273589159646,0.8039065779301142,1,interpolation,cwscf_margin,0.5,4000,31,8,96,6.736449718475342
0.637125,0.4198463478991241,0.39112223851127176,0.3628140165692017,0.6606015202934294,1,interpolation,cwscf_full,1.0,8000,31,8,96,6.736449718475342
0.4411764705882353,0.3803296703296703,0.4326223991894791,0.2656666235613604,0.3871509421045025,1,extrapolation,cwscf_margin,0.01,272,31,8,96,6.736449718475342
0.6121323529411765,0.3241457124435848,0.5324576835069389,0.2573632575697411,0.5050318110852721,1,extrapolation,cwscf_margin,0.02,544,31,8,96,6.736449718475342
0.696078431372549,0.3255273526211828,0.5893813969471342,0.2749545524235057,0.5962214414644234,1,extrapolation,cwscf_margin,0.03,816,31,8,96,6.736449718475342
0.7654411764705882,0.29256869672712843,0.6355193035244663,0.26210781022803564,0.6808102992973398,1,extrapolation,cwscf_margin,0.05,1360,31,8,96,6.736449718475342
0.7982536764705882,0.26680934890637115,0.6692154694439809,0.2434800285871367,0.722643425145356,1,extrapolation,cwscf_margin,0.08,2176,31,8,96,6.736449718475342
0.8011029411764706,0.2670479318396133,0.6819720461267724,0.24392272223770828,0.7277340207144721,1,extrapolation,cwscf_margin,0.1,2720,31,8,96,6.736449718475342
0.7775735294117647,0.26744980025967796,0.6673953510016283,0.2281932890878193,0.701436830649326,1,extrapolation,cwscf_margin,0.2,5440,31,8,96,6.736449718475342
0.7713235294117647,0.2706580128004509,0.6508517674213752,0.22500336073402857,0.6973414037757079,1,extrapolation,cwscf_margin,0.3,8160,31,8,96,6.736449718475342
0.7684742647058823,0.24924723520116998,0.6308946617899288,0.2043401776352809,0.6984484218996403,1,extrapolation,cwscf_margin,0.4,10880,31,8,96,6.736449718475342
0.7635294117647059,0.2607254600272661,0.6099116001597616,0.21063004852361178,0.6987869992065351,1,extrapolation,cwscf_margin,0.5,13600,31,8,96,6.736449718475342
0.6466911764705883,0.26310507998328375,0.44445883671874037,0.21470455596848895,0.6164499034830614,1,extrapolation,cwscf_full,1.0,27200,31,8,96,6.736449718475342
1.0,1.0,1.0,1.0,1.0,2,interpolation,cwscf_margin,0.01,80,31,8,96,6.783625364303589
1.0,1.0,1.0,1.0,1.0,2,interpolation,cwscf_margin,0.02,160,31,8,96,6.783625364303589
1.0,1.0,1.0,1.0,1.0,2,interpolation,cwscf_margin,0.03,240,31,8,96,6.783625364303589
0.995,0.5,0.9405579459931378,0.49934725848563966,0.9925065274151436,2,interpolation,cwscf_margin,0.05,400,31,8,96,6.783625364303589
0.95,0.42857142857142855,0.6395982221871421,0.4153602156932715,0.92567721343325,2,interpolation,cwscf_margin,0.08,640,31,8,96,6.783625364303589
0.93375,0.547418686969879,0.6165378966929382,0.5438848414458171,0.9030024636610005,2,interpolation,cwscf_margin,0.1,800,31,8,96,6.783625364303589
0.870625,0.5586740073100792,0.6440283886663954,0.505570242646045,0.8259536633577704,2,interpolation,cwscf_margin,0.2,1600,31,8,96,6.783625364303589
0.8325,0.5681350580741131,0.6092813467759194,0.5325125186757741,0.7937061308499823,2,interpolation,cwscf_margin,0.3,2400,31,8,96,6.783625364303589
0.7971875,0.5605450858222089,0.555445263105115,0.4564546900481121,0.765862600263348,2,interpolation,cwscf_margin,0.4,3200,31,8,96,6.783625364303589
0.765,0.5597608550310795,0.5043062121218183,0.4476674729551221,0.7432709098166586,2,interpolation,cwscf_margin,0.5,4000,31,8,96,6.783625364303589
0.634125,0.4300567394635825,0.37265529484679194,0.3926602445384819,0.6444425805074667,2,interpolation,cwscf_full,1.0,8000,31,8,96,6.783625364303589
0.9301470588235294,0.3333333333333333,0.0,0.32126984126984126,0.896484593837535,2,extrapolation,cwscf_margin,0.01,272,31,8,96,6.783625364303589
0.8253676470588235,0.41304347826086957,0.5038891024153721,0.38212377311243767,0.7882315705475966,2,extrapolation,cwscf_margin,0.02,544,31,8,96,6.783625364303589
0.8186274509803921,0.3921063013606641,0.6270039448188519,0.36810289885861064,0.7698013503089487,2,extrapolation,cwscf_margin,0.03,816,31,8,96,6.783625364303589
0.8044117647058824,0.34103941087437417,0.6282982821066226,0.32704537768947883,0.7557134687158881,2,extrapolation,cwscf_margin,0.05,1360,31,8,96,6.783625364303589
0.7982536764705882,0.29767042987407727,0.6187852300801884,0.29044897679150017,0.7565162391493625,2,extrapolation,cwscf_margin,0.08,2176,31,8,96,6.783625364303589
0.8066176470588236,0.3015014070463524,0.6273714165455214,0.30402360952969476,0.7667925088395081,2,extrapolation,cwscf_margin,0.1,2720,31,8,96,6.783625364303589
0.8452205882352941,0.2993841021363957,0.6815605925038359,0.273329460558363,0.8128972895323715,2,extrapolation,cwscf_margin,0.2,5440,31,8,96,6.783625364303589
0.842156862745098,0.31633297407380484,0.6812047707473377,0.2812041499008976,0.8100806594770067,2,extrapolation,cwscf_margin,0.3,8160,31,8,96,6.783625364303589
0.8176470588235294,0.3173275762415091,0.6483561907932328,0.26981705309196075,0.7814768825978455,2,extrapolation,cwscf_margin,0.4,10880,31,8,96,6.783625364303589
0.7877205882352941,0.3172816965052509,0.6114483891230035,0.2558558008605906,0.7507938199719253,2,extrapolation,cwscf_margin,0.5,13600,31,8,96,6.783625364303589
0.6351102941176471,0.27887263149227365,0.4394712648284626,0.20405722410668534,0.6081278510642505,2,extrapolation,cwscf_full,1.0,27200,31,8,96,6.783625364303589
0.9875,0.9444444444444445,0.9205029446228097,0.9674293960008246,0.9869743351886209,3,interpolation,cwscf_margin,0.01,80,31,8,96,6.761342763900757
0.975,0.6978632478632478,0.9401526845286954,0.7034886725816177,0.9714695494874668,3,interpolation,cwscf_margin,0.02,160,31,8,96,6.761342763900757
0.9416666666666667,0.4902959910078681,0.8809048207233525,0.5010886838547473,0.9327119059478349,3,interpolation,cwscf_margin,0.03,240,31,8,96,6.761342763900757
0.935,0.5917986952469712,0.8660534757640956,0.6018660214010458,0.9253702956202271,3,interpolation,cwscf_margin,0.05,400,31,8,96,6.761342763900757
0.934375,0.47374537818685747,0.8608834917122894,0.47878086419753085,0.9234772858796296,3,interpolation,cwscf_margin,0.08,640,31,8,96,6.761342763900757
0.935,0.4762879488633161,0.8592029677849579,0.47359355142718945,0.9279136337448723,3,interpolation,cwscf_margin,0.1,800,31,8,96,6.761342763900757
0.90875,0.5534097256904053,0.8065358538752071,0.5274784760583936,0.894441571959249,3,interpolation,cwscf_margin,0.2,1600,31,8,96,6.761342763900757
0.8775,0.5741166123209079,0.7417325963931277,0.5604935210417794,0.8635015562893263,3,interpolation,cwscf_margin,0.3,2400,31,8,96,6.761342763900757
0.8403125,0.5338772611018143,0.6761178176180016,0.5117597251110753,0.8281946781500644,3,interpolation,cwscf_margin,0.4,3200,31,8,96,6.761342763900757
