Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,window,epochs,hidden,train_time
0.6125,0.5822510822510824,0.5667654312202915,0.460433397203304,0.597993351359818,0,interpolation,ddpm_mscnn_margin,0.01,80,31,8,96,4.612691402435303
0.55,0.6033515012430676,0.5055701085688906,0.4939953868525298,0.5338978588978589,0,interpolation,ddpm_mscnn_margin,0.02,160,31,8,96,4.612691402435303
0.5583333333333333,0.5925837726394906,0.47939190960791295,0.45645637873089745,0.5632985814287511,0,interpolation,ddpm_mscnn_margin,0.03,240,31,8,96,4.612691402435303
0.5925,0.5782207792207792,0.4842567968091787,0.4465967445154638,0.6213260488791995,0,interpolation,ddpm_mscnn_margin,0.05,400,31,8,96,4.612691402435303
0.6484375,0.5865115703839245,0.5078085512104519,0.4514893325705168,0.6846233749253307,0,interpolation,ddpm_mscnn_margin,0.08,640,31,8,96,4.612691402435303
0.68375,0.5844177551987856,0.5337706912415099,0.45319616240624166,0.7188435055933776,0,interpolation,ddpm_mscnn_margin,0.1,800,31,8,96,4.612691402435303
0.75,0.6161546508008148,0.6125256491748121,0.5014504421823154,0.7814283048746296,0,interpolation,ddpm_mscnn_margin,0.2,1600,31,8,96,4.612691402435303
0.7483333333333333,0.555258672848565,0.6098408159071458,0.44810074693436885,0.7801643629081434,0,interpolation,ddpm_mscnn_margin,0.3,2400,31,8,96,4.612691402435303
0.740625,0.5470568779787665,0.5918788137866642,0.4425018926096946,0.7708551774550993,0,interpolation,ddpm_mscnn_margin,0.4,3200,31,8,96,4.612691402435303
0.73075,0.5454088285935517,0.5707542822549915,0.43701936574455225,0.7583394559004105,0,interpolation,ddpm_mscnn_margin,0.5,4000,31,8,96,4.612691402435303
0.615625,0.49015984581386474,0.42087310071696216,0.38533515450545297,0.6413016873266646,0,interpolation,ddpm_mscnn_full,1.0,8000,31,8,96,4.612691402435303
0.2867647058823529,0.38852813852813856,0.2819508054939904,0.24563239009363524,0.1878320449210517,0,extrapolation,ddpm_mscnn_margin,0.01,272,31,8,96,4.612691402435303
0.4007352941176471,0.30872188261616523,0.33576180325052846,0.17948067380385138,0.28087670686006827,0,extrapolation,ddpm_mscnn_margin,0.02,544,31,8,96,4.612691402435303
0.4877450980392157,0.30946795120958037,0.3947753981501888,0.18128538676236045,0.37700650198775687,0,extrapolation,ddpm_mscnn_margin,0.03,816,31,8,96,4.612691402435303
0.6139705882352942,0.3008336529070986,0.5106285002282219,0.19553411472331603,0.5172498948241019,0,extrapolation,ddpm_mscnn_margin,0.05,1360,31,8,96,4.612691402435303
