Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,synthetic_rows,cascade_layers,n_estimators,train_time
0.9625,0.25,0.0,0.24522292993630573,0.944108280254777,0,interpolation,deepforest_kmeans_smote_margin,0.01,80,21596,3,80,7.286305904388428
0.94375,0.2,0.0,0.19421221864951768,0.9164389067524116,0,interpolation,deepforest_kmeans_smote_margin,0.02,160,21596,3,80,7.286305904388428
0.9166666666666666,0.429769392033543,0.5288753033483797,0.4487373737373737,0.8871969696969697,0,interpolation,deepforest_kmeans_smote_margin,0.03,240,21596,3,80,7.286305904388428
0.9075,0.5469826295297994,0.7205338814714018,0.5543326510260852,0.8821667453944261,0,interpolation,deepforest_kmeans_smote_margin,0.05,400,21596,3,80,7.286305904388428
0.884375,0.5309248152605424,0.5552076030028207,0.4834942555894361,0.8824493467646827,0,interpolation,deepforest_kmeans_smote_margin,0.08,640,21596,3,80,7.286305904388428
0.83375,0.5121630347054076,0.4372448565596265,0.44744260141218195,0.8545827445160556,0,interpolation,deepforest_kmeans_smote_margin,0.1,800,21596,3,80,7.286305904388428
0.818125,0.528301153095722,0.4035803042903689,0.4599034404565952,0.7983922077634262,0,interpolation,deepforest_kmeans_smote_margin,0.2,1600,21596,3,80,7.286305904388428
0.83,0.5083734755003992,0.44501782249138994,0.4773497353830113,0.8109547014803393,0,interpolation,deepforest_kmeans_smote_margin,0.3,2400,21596,3,80,7.286305904388428
0.8196875,0.4753204581008287,0.46370918170567393,0.4399596348465381,0.7927391833885159,0,interpolation,deepforest_kmeans_smote_margin,0.4,3200,21596,3,80,7.286305904388428
0.80325,0.4563774726967319,0.46563276578930923,0.4113277036321848,0.7684015452257378,0,interpolation,deepforest_kmeans_smote_margin,0.5,4000,21596,3,80,7.286305904388428
0.65225,0.37337235364902127,0.3565621049680354,0.34762936539190753,0.6086310224026108,0,interpolation,deepforest_kmeans_smote_full,1.0,8000,21596,3,80,7.286305904388428
0.8970588235294118,0.16666666666666666,0.0,0.15762273901808785,0.8483812129502963,0,extrapolation,deepforest_kmeans_smote_margin,0.01,272,21596,3,80,7.286305904388428
0.8805147058823529,0.14285714285714285,0.0,0.1337801982963273,0.8245680236904146,0,extrapolation,deepforest_kmeans_smote_margin,0.02,544,21596,3,80,7.286305904388428
0.8995098039215687,0.14285714285714285,0.0,0.1352995391705069,0.851922833649589,0,extrapolation,deepforest_kmeans_smote_margin,0.03,816,21596,3,80,7.286305904388428
0.9205882352941176,0.16883116883116883,0.13254034952610186,0.18089732353536034,0.8835447144879661,0,extrapolation,deepforest_kmeans_smote_margin,0.05,1360,21596,3,80,7.286305904388428
0.9287683823529411,0.26373626373626374,0.3460644616107107,0.305004132734586,0.8985896506023351,0,extrapolation,deepforest_kmeans_smote_margin,0.08,2176,21596,3,80,7.286305904388428
0.9172794117647058,0.22972370766488415,0.3258454336562163,0.2650339796516067,0.8819031703207877,0,extrapolation,deepforest_kmeans_smote_margin,0.1,2720,21596,3,80,7.286305904388428
0.9150735294117647,0.24535714285714286,0.39416425554897294,0.2810928032962751,0.8807526605639239,0,extrapolation,deepforest_kmeans_smote_margin,0.2,5440,21596,3,80,7.286305904388428
0.9091911764705882,0.20295785466401034,0.36848289169151366,0.23508504345686804,0.8735114663854217,0,extrapolation,deepforest_kmeans_smote_margin,0.3,8160,21596,3,80,7.286305904388428
0.8958639705882353,0.20835377719258058,0.4063773592094561,0.23601033145367487,0.8571742944926277,0,extrapolation,deepforest_kmeans_smote_margin,0.4,10880,21596,3,80,7.286305904388428
0.8772794117647059,0.1968696134672105,0.44703361358254545,0.21751469827464529,0.8351356952697115,0,extrapolation,deepforest_kmeans_smote_margin,0.5,13600,21596,3,80,7.286305904388428
0.6775367647058823,0.18608030615086768,0.4248996995644976,0.16586373676894955,0.6031598319611405,0,extrapolation,deepforest_kmeans_smote_full,1.0,27200,21596,3,80,7.286305904388428
0.8625,0.5,0.2961138694909934,0.3995433789954338,0.8001141552511415,1,interpolation,deepforest_kmeans_smote_margin,0.01,80,21597,3,80,7.398976564407349
0.86875,0.5,0.2938522891879103,0.4329931972789116,0.8080017006802722,1,interpolation,deepforest_kmeans_smote_margin,0.02,160,21597,3,80,7.398976564407349
0.8583333333333333,0.3478619951609901,0.4334799996288819,0.3184045423175858,0.8117635202961291,1,interpolation,deepforest_kmeans_smote_margin,0.03,240,21597,3,80,7.398976564407349
0.865,0.5293898809523809,0.5563337167850585,0.5265077575395539,0.8325063391798921,1,interpolation,deepforest_kmeans_smote_margin,0.05,400,21597,3,80,7.398976564407349
0.8703125,0.6469503727398973,0.6887948627628712,0.6086926952561663,0.8378521176575486,1,interpolation,deepforest_kmeans_smote_margin,0.08,640,21597,3,80,7.398976564407349
0.87375,0.6087781344727726,0.7057318256571045,0.5955190967908679,0.8414649638606094,1,interpolation,deepforest_kmeans_smote_margin,0.1,800,21597,3,80,7.398976564407349
0.890625,0.5803817636970947,0.6752330775566114,0.585488638239366,0.8595904996645369,1,interpolation,deepforest_kmeans_smote_margin,0.2,1600,21597,3,80,7.398976564407349
