Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,n_features,knn,train_time
1.0,1.0,0.0,1.0,1.0,0,interpolation,graph_feature_margin,0.01,80,62,8,1.7398779392242432
1.0,1.0,0.0,1.0,1.0,0,interpolation,graph_feature_margin,0.02,160,62,8,1.7398779392242432
1.0,1.0,0.0,1.0,1.0,0,interpolation,graph_feature_margin,0.03,240,62,8,1.7398779392242432
0.985,0.2,0.0,0.19848866498740553,0.9775566750629723,0,interpolation,graph_feature_margin,0.05,400,62,8,1.7398779392242432
0.98125,0.27777777777777773,0.37626832627376317,0.2984177215189873,0.972589003164557,0,interpolation,graph_feature_margin,0.08,640,62,8,1.7398779392242432
0.975,0.2619047619047619,0.40539620384881814,0.2857583468270491,0.9640226694425169,0,interpolation,graph_feature_margin,0.1,800,62,8,1.7398779392242432
0.96875,0.3068181818181818,0.6449597695474784,0.31622089507510687,0.9553774392348567,0,interpolation,graph_feature_margin,0.2,1600,62,8,1.7398779392242432
0.9308333333333333,0.44039701391245334,0.6456835888873068,0.4920909758548135,0.9019909990583422,0,interpolation,graph_feature_margin,0.3,2400,62,8,1.7398779392242432
0.8809375,0.5184610242300558,0.6478944568965279,0.5534821090600152,0.8390208939688639,0,interpolation,graph_feature_margin,0.4,3200,62,8,1.7398779392242432
0.83625,0.44481709929216845,0.589826198313717,0.48784681886635894,0.80518249893422,0,interpolation,graph_feature_margin,0.5,4000,62,8,1.7398779392242432
0.635875,0.39890515799666176,0.3829643667266029,0.3824970816350362,0.6347650221198721,0,interpolation,graph_feature_full,1.0,8000,62,8,1.7398779392242432
0.8676470588235294,0.2,0.0,0.1858267716535433,0.8061602593793422,0,extrapolation,graph_feature_margin,0.01,272,62,8,1.7398779392242432
0.8988970588235294,0.2,0.0,0.189351403678606,0.8510370992540288,0,extrapolation,graph_feature_margin,0.02,544,62,8,1.7398779392242432
0.9142156862745098,0.16666666666666666,0.0,0.15919760990183526,0.8732457131380081,0,extrapolation,graph_feature_margin,0.03,816,62,8,1.7398779392242432
0.9235294117647059,0.16666666666666666,0.0,0.1600407747196738,0.8868141752113688,0,extrapolation,graph_feature_margin,0.05,1360,62,8,1.7398779392242432
0.9181985294117647,0.14857142857142858,0.07328067559214659,0.14775109837430067,0.879467048015644,0,extrapolation,graph_feature_margin,0.08,2176,62,8,1.7398779392242432
0.9205882352941176,0.14809109657352468,0.045041355894893026,0.146800293566627,0.8831941027312283,0,extrapolation,graph_feature_margin,0.1,2720,62,8,1.7398779392242432
0.924264705882353,0.13965610138918172,0.11991816681203511,0.1457137389973211,0.8893364062042727,0,extrapolation,graph_feature_margin,0.2,5440,62,8,1.7398779392242432
0.9177696078431372,0.20175545849073573,0.31483036081545,0.23149153842345707,0.8841934676807253,0,extrapolation,graph_feature_margin,0.3,8160,62,8,1.7398779392242432
0.9004595588235295,0.22901116056728496,0.4620746307938754,0.25845763326442206,0.8643582912196955,0,extrapolation,graph_feature_margin,0.4,10880,62,8,1.7398779392242432
0.8549264705882353,0.23108084498317677,0.5689852625480493,0.23622050644116221,0.8080761331019911,0,extrapolation,graph_feature_margin,0.5,13600,62,8,1.7398779392242432
0.6135294117647059,0.20578650850906643,0.37545215570044094,0.17883124688133212,0.5936937659879037,0,extrapolation,graph_feature_full,1.0,27200,62,8,1.7398779392242432
