method,split,coverage,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,MCC_mean,MCC_std,F1_macro_mean,F1_macro_std,F1_weighted_mean,F1_weighted_std,kept_rows_mean,kept_rows_std
graph_feature_full,extrapolation,1.0,0.6339204545454545,0.015336781844938334,0.22696744828842697,0.016511851893990515,0.4114151042842741,0.023427128100188453,0.19236583827247514,0.015090320503041684,0.612361490164977,0.014855404006805567,27200.0,0.0
graph_feature_full,interpolation,1.0,0.6256704545454546,0.03873605687563885,0.35382446246107135,0.04294351388564764,0.3698963857105008,0.032220890198398563,0.3421805821349103,0.04735110235842405,0.6367005813927764,0.034384398141999256,8000.0,0.0
graph_feature_margin,extrapolation,0.01,0.9421791443850267,0.04081017847150852,0.4088154269972452,0.16462777418180718,0.24944454729900123,0.27197041296349966,0.4095295602484061,0.16721554278234574,0.9158046665153171,0.059833478379752586,272.0,0.0
graph_feature_margin,extrapolation,0.02,0.9481951871657753,0.033883600167831,0.3532384282384282,0.15131921734972217,0.2689683166240847,0.2478752003926886,0.36056095642909425,0.15774176256642575,0.9247609253327472,0.04993426851829613,544.0,0.0
graph_feature_margin,extrapolation,0.03,0.9504233511586453,0.024810433469844642,0.30418366960983384,0.1464817012930686,0.2984632793344184,0.2391416788682043,0.3107872381159372,0.14987438481333748,0.9281139272779892,0.0366956315443864,816.0,0.0
graph_feature_margin,extrapolation,0.05,0.9508689839572192,0.01869099187040959,0.24279537742200083,0.10402329541119688,0.3175797529950875,0.22146921408878,0.2560804591247696,0.10594073967364147,0.9292360247539978,0.02777254003135371,1360.0,0.0
graph_feature_margin,extrapolation,0.08,0.9446022727272727,0.0165177532429347,0.2288454937009263,0.08592039757362155,0.33860138708398746,0.19661618805426556,0.24363877381219445,0.0901338724569173,0.920445961188438,0.024272286095566285,2176.0,0.0
graph_feature_margin,extrapolation,0.1,0.9408422459893049,0.015039824715117733,0.22726943898202875,0.0780498691493839,0.3274989684457746,0.18766225432833936,0.24618274692588746,0.08831118227450442,0.9152068889814807,0.02186682215162082,2720.0,0.0
graph_feature_margin,extrapolation,0.2,0.928726604278075,0.00923412425745611,0.2145226783321794,0.06182467649034027,0.36899010602577414,0.1653289965714966,0.23599932859332798,0.07255686507256687,0.8991484261702606,0.013847049321025212,5440.0,0.0
graph_feature_margin,extrapolation,0.3,0.914672459893048,0.006821059256164982,0.2242218253016595,0.03946949171850614,0.45460332872095766,0.11745207117490254,0.24787146080062988,0.04442341185432811,0.8817906113051972,0.00958874905776522,8160.0,0.0
graph_feature_margin,extrapolation,0.4,0.8875417780748663,0.009149571610940642,0.22904258042510187,0.038811364374569564,0.5335368285960989,0.0699726128294803,0.24541436406551567,0.0360812911931532,0.8482451109210148,0.011138939946508684,10880.0,0.0
graph_feature_margin,extrapolation,0.5,0.839966577540107,0.020119543352007264,0.23796638532802084,0.027730455890508935,0.5750304523900862,0.029981329894550053,0.23276019904818837,0.02938800561774639,0.790419792421821,0.024806123809246423,13600.0,0.0
graph_feature_margin,interpolation,0.01,0.9579545454545454,0.057356540405369,0.6931818181818182,0.2740341164338794,0.34850187268603094,0.38571652415427693,0.6875919513499358,0.2772994776660066,0.9390979831120219,0.08304881184859482,80.0,0.0
graph_feature_margin,interpolation,0.02,0.9579545454545454,0.04221327074834083,0.5710227272727273,0.22863661151762776,0.3645622969931154,0.35021556884548155,0.5701102692241871,0.2230129198392015,0.9388415254012606,0.06128487133186373,160.0,0.0
graph_feature_margin,interpolation,0.03,0.9579545454545454,0.033409005016037455,0.5105128205128205,0.19231692285539526,0.4204411458422575,0.34661839366610514,0.5092462191967037,0.1888046258477171,0.9390776907830932,0.04847078440774832,240.0,0.0
graph_feature_margin,interpolation,0.05,0.9524999999999999,0.02930443652418522,0.3881337705380439,0.15189210449006255,0.49456475544537976,0.30393636313715905,0.3863833721235048,0.14887934139085887,0.9307632223198408,0.04263831249998084,400.0,0.0
graph_feature_margin,interpolation,0.08,0.945028409090909,0.023331198326294992,0.3137429995172224,0.07635612396261798,0.5229665321140918,0.21742109624006686,0.3157336768917881,0.06718863973444861,0.9201072113185869,0.033972132617658385,640.0,0.0
graph_feature_margin,interpolation,0.1,0.9382954545454545,0.023633085437003914,0.2968324715284356,0.036946490721543254,0.5344716195695428,0.1928517927934393,0.3019193329844137,0.042550199102488674,0.9112029053331502,0.03390527649137908,800.0,0.0
graph_feature_margin,interpolation,0.2,0.9184659090909091,0.02386381222878922,0.29160498281798497,0.061730063964458896,0.5794971155241672,0.142595712066071,0.3005451631004599,0.07565401279622228,0.8859939048141715,0.033544014985240726,1600.0,0.0
graph_feature_margin,interpolation,0.3,0.8935984848484849,0.025186990088078568,0.3137842271168672,0.08363626718946855,0.6053532136783408,0.07865971344277257,0.3270083865276885,0.10172376416522769,0.8582205962813284,0.030892894207382456,2400.0,0.0
graph_feature_margin,interpolation,0.4,0.8559375,0.03508277043293475,0.33941407124495465,0.09439621171343818,0.5916118950148609,0.06152187237262734,0.3577456153439447,0.10935379436379683,0.8228571149465604,0.03374496865039851,3200.0,0.0
graph_feature_margin,interpolation,0.5,0.8138181818181818,0.04590466900396554,0.35835104798577555,0.08183805482052157,0.5614528942367524,0.050623855769268596,0.3840957213818221,0.09160624767314539,0.7900794023983237,0.03987176078488088,4000.0,0.0
