Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,window,epochs,hidden,train_time
0.975,0.5,0.8718288016256253,0.4965277777777778,0.962673611111111,0,interpolation,lmafnet_margin,0.01,80,31,8,96,3.991149425506592
0.96875,0.5833333333333333,0.7931674253677755,0.6207912457912458,0.959638047138047,0,interpolation,lmafnet_margin,0.02,160,31,8,96,3.991149425506592
0.9583333333333334,0.654524699045247,0.7367379624538087,0.5287878787878788,0.9570391414141414,0,interpolation,lmafnet_margin,0.03,240,31,8,96,3.991149425506592
0.9675,0.5507731547903714,0.7638546522971998,0.4581950052340362,0.9634426873037237,0,interpolation,lmafnet_margin,0.05,400,31,8,96,3.991149425506592
0.9515625,0.5168557548692727,0.7846765040497905,0.47610724004904453,0.9425796132509943,0,interpolation,lmafnet_margin,0.08,640,31,8,96,3.991149425506592
0.945,0.6088332817741529,0.7854225889277003,0.571400570740518,0.9365477346733861,0,interpolation,lmafnet_margin,0.1,800,31,8,96,3.991149425506592
0.9025,0.6107064826316558,0.7471304402340433,0.577964537119975,0.9005091149201695,0,interpolation,lmafnet_margin,0.2,1600,31,8,96,3.991149425506592
0.8683333333333333,0.5244674488717269,0.6978786529294093,0.49034872449896505,0.8690104999040411,0,interpolation,lmafnet_margin,0.3,2400,31,8,96,3.991149425506592
0.8346875,0.5242942447394854,0.6572971432664846,0.47896255125732223,0.8399836328424842,0,interpolation,lmafnet_margin,0.4,3200,31,8,96,3.991149425506592
0.79625,0.5091566368972731,0.6014205657138049,0.4469790092344935,0.8045243430459854,0,interpolation,lmafnet_margin,0.5,4000,31,8,96,3.991149425506592
0.64225,0.4538012085496922,0.4383857385066308,0.3950449629089793,0.6624030972755789,0,interpolation,lmafnet_full,1.0,8000,31,8,96,3.991149425506592
0.5992647058823529,0.4,0.46739695516496516,0.39696048632218844,0.5902132129447524,0,extrapolation,lmafnet_margin,0.01,272,31,8,96,3.991149425506592
0.7334558823529411,0.28535534816941854,0.47221000431484167,0.2839374555792466,0.7261943956687152,0,extrapolation,lmafnet_margin,0.02,544,31,8,96,3.991149425506592
0.8174019607843137,0.2854997854997855,0.47937367198758185,0.2846481876332622,0.8125365817968978,0,extrapolation,lmafnet_margin,0.03,816,31,8,96,3.991149425506592
0.8661764705882353,0.33995616542786355,0.5015619125869892,0.2655375643180125,0.8539865511787431,0,extrapolation,lmafnet_margin,0.05,1360,31,8,96,3.991149425506592
0.8828125,0.2662041704426359,0.5720191301889106,0.2017384694160091,0.8546834736370991,0,extrapolation,lmafnet_margin,0.08,2176,31,8,96,3.991149425506592
0.8830882352941176,0.27996595316467693,0.6198702972622655,0.22944047786245977,0.8494479764980369,0,extrapolation,lmafnet_margin,0.1,2720,31,8,96,3.991149425506592
0.8626838235294118,0.24443236497670376,0.6761418282073,0.21219749308638866,0.819205567851016,0,extrapolation,lmafnet_margin,0.2,5440,31,8,96,3.991149425506592
0.8558823529411764,0.25529944864451287,0.6911198366197109,0.22626863145485032,0.8104499820228386,0,extrapolation,lmafnet_margin,0.3,8160,31,8,96,3.991149425506592
0.8386948529411765,0.2584341047073278,0.6765527668690917,0.22390025774137104,0.7910416958532317,0,extrapolation,lmafnet_margin,0.4,10880,31,8,96,3.991149425506592
0.8127941176470588,0.24221640633654593,0.6463445024923964,0.2126955142617526,0.7618079159639638,0,extrapolation,lmafnet_margin,0.5,13600,31,8,96,3.991149425506592
0.6502205882352942,0.22095537473375018,0.4424925148425735,0.18551952635950222,0.6003405548555858,0,extrapolation,lmafnet_full,1.0,27200,31,8,96,3.991149425506592
0.95,0.4964788732394366,0.7366869246613268,0.4738247863247863,0.9320779914529913,1,interpolation,lmafnet_margin,0.01,80,31,8,96,3.7000019550323486
0.9625,0.5971428571428572,0.8301856816931817,0.5671732522796352,0.9510258358662613,1,interpolation,lmafnet_margin,0.02,160,31,8,96,3.7000019550323486
0.9708333333333333,0.49842022116903634,0.8629529731268192,0.4734453781512605,0.9611148459383754,1,interpolation,lmafnet_margin,0.03,240,31,8,96,3.7000019550323486
0.9675,0.37427113702623904,0.8660755962240827,0.35480472764645427,0.9543175745118192,1,interpolation,lmafnet_margin,0.05,400,31,8,96,3.7000019550323486
0.959375,0.37147773466371026,0.8593668174453337,0.3552742265340869,0.9427096241222636,1,interpolation,lmafnet_margin,0.08,640,31,8,96,3.7000019550323486
0.955,0.43316867035942275,0.864874886982629,0.4320515734512683,0.9373775255735591,1,interpolation,lmafnet_margin,0.1,800,31,8,96,3.7000019550323486
0.915,0.4298953336651884,0.7984946308840506,0.42654105154105154,0.8916444493006993,1,interpolation,lmafnet_margin,0.2,1600,31,8,96,3.7000019550323486
0.8883333333333333,0.4046583734481586,0.755491182153499,0.3992459928962291,0.8597377075283261,1,interpolation,lmafnet_margin,0.3,2400,31,8,96,3.7000019550323486
0.85625,0.39151383053136624,0.6895627629079697,0.3771435414541065,0.8354129817803091,1,interpolation,lmafnet_margin,0.4,3200,31,8,96,3.7000019550323486
0.80475,0.38672600335278523,0.5954192587044996,0.3699754825358173,0.7999068163207949,1,interpolation,lmafnet_margin,0.5,4000,31,8,96,3.7000019550323486
0.641625,0.38336893217610346,0.39545588101923956,0.35259212822009894,0.6641349730076089,1,interpolation,lmafnet_full,1.0,8000,31,8,96,3.7000019550323486
0.9669117647058824,0.5806451612903226,0.8323844790679795,0.6111489812921306,0.9631993731371212,1,extrapolation,lmafnet_margin,0.01,272,31,8,96,3.7000019550323486
0.9577205882352942,0.35554463554463556,0.7308574102456976,0.3442276195675634,0.9479966799131572,1,extrapolation,lmafnet_margin,0.02,544,31,8,96,3.7000019550323486
0.8946078431372549,0.23663005496305464,0.6815054836555176,0.2035268486851004,0.8660837554931929,1,extrapolation,lmafnet_margin,0.03,816,31,8,96,3.7000019550323486
0.7985294117647059,0.2947803536619326,0.631282312938321,0.25616575405646275,0.7437146781297281,1,extrapolation,lmafnet_margin,0.05,1360,31,8,96,3.7000019550323486
0.7954963235294118,0.2968328287671662,0.6738796505103244,0.2683853529512693,0.7284303534303534,1,extrapolation,lmafnet_margin,0.08,2176,31,8,96,3.7000019550323486
0.79375,0.26992911329436636,0.6806560910495523,0.24619721123738686,0.7238631079719698,1,extrapolation,lmafnet_margin,0.1,2720,31,8,96,3.7000019550323486
0.7762867647058823,0.2685923028516581,0.6672373163729304,0.2340570291391982,0.7003548907952162,1,extrapolation,lmafnet_margin,0.2,5440,31,8,96,3.7000019550323486
0.7439950980392157,0.24525233977422375,0.6309842572059244,0.19419622705964004,0.6641743874054525,1,extrapolation,lmafnet_margin,0.3,8160,31,8,96,3.7000019550323486
0.7269301470588235,0.23881103822579774,0.6017387379447343,0.17742000153762785,0.6552166220128403,1,extrapolation,lmafnet_margin,0.4,10880,31,8,96,3.7000019550323486
0.70875,0.23702660372945697,0.5690468763378999,0.18085735689572816,0.6471132404300058,1,extrapolation,lmafnet_margin,0.5,13600,31,8,96,3.7000019550323486
0.5942279411764706,0.22386042163443684,0.3990729821294282,0.17296971787965867,0.5716678942227528,1,extrapolation,lmafnet_full,1.0,27200,31,8,96,3.7000019550323486
0.9875,0.8888888888888888,0.9621589952288992,0.9307493540051679,0.9862984496124032,2,interpolation,lmafnet_margin,0.01,80,31,8,96,3.7896337509155273
0.9875,0.6875,0.9406929138938155,0.7125251509054326,0.9839725855130783,2,interpolation,lmafnet_margin,0.02,160,31,8,96,3.7896337509155273
0.9833333333333333,0.47222222222222227,0.9028720472600412,0.4833264148332641,0.9769700428947005,2,interpolation,lmafnet_margin,0.03,240,31,8,96,3.7896337509155273
0.9875,0.4126984126984127,0.9053914246316284,0.4192118614514079,0.9824683045909127,2,interpolation,lmafnet_margin,0.05,400,31,8,96,3.7896337509155273
0.98125,0.45755007704160244,0.8662618981501218,0.47698875509286004,0.9752254522351903,2,interpolation,lmafnet_margin,0.08,640,31,8,96,3.7896337509155273
0.96625,0.47668631514511023,0.7890661825319654,0.47657264946532774,0.9573545902326557,2,interpolation,lmafnet_margin,0.1,800,31,8,96,3.7896337509155273
0.89125,0.5685756603915172,0.6410998394463256,0.5283818240313602,0.867758645867378,2,interpolation,lmafnet_margin,0.2,1600,31,8,96,3.7896337509155273
0.8483333333333334,0.5519217388019786,0.6147647589080767,0.5096699713481994,0.8277922087088747,2,interpolation,lmafnet_margin,0.3,2400,31,8,96,3.7896337509155273
0.8125,0.5443472433046469,0.5869978391181214,0.5130548039802305,0.8000491261387513,2,interpolation,lmafnet_margin,0.4,3200,31,8,96,3.7896337509155273
0.775,0.5325525647403264,0.544623989701473,0.5054983526484988,0.7702328244333023,2,interpolation,lmafnet_margin,0.5,4000,31,8,96,3.7896337509155273
0.6285,0.43329551585721493,0.38645787615270905,0.39529449948609047,0.6461731119394262,2,interpolation,lmafnet_full,1.0,8000,31,8,96,3.7896337509155273
0.9007352941176471,0.6976851851851852,0.709736044902494,0.6635259573764164,0.8756100928143858,2,extrapolation,lmafnet_margin,0.01,272,31,8,96,3.7896337509155273
0.8878676470588235,0.47623384289207715,0.7823249882810909,0.4706342346791785,0.8522593188096328,2,extrapolation,lmafnet_margin,0.02,544,31,8,96,3.7896337509155273
