method,split,coverage,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,MCC_mean,MCC_std,F1_macro_mean,F1_macro_std,F1_weighted_mean,F1_weighted_std,kept_rows_mean,kept_rows_std
mffcnn_full,extrapolation,1.0,0.6286746183165481,0.01582802482932031,0.25458559529269587,0.016875382069345597,0.39845976584917725,0.016801811209610516,0.217644900198046,0.019126738934182944,0.6164004582597454,0.014033426844288113,384338.0,0.0
mffcnn_full,interpolation,1.0,0.6386096898896725,0.05104145423686517,0.4261346830583656,0.042185843290163755,0.3882907820433687,0.054971216493660574,0.3797000815464612,0.04000919147231893,0.6549212698846127,0.043669537694893595,124784.18181818182,27974.89188117868
mffcnn_margin,extrapolation,0.01,0.8287559435100419,0.1990026917254555,0.3702149465180422,0.1480131229908225,0.7571685699473029,0.1811584661490175,0.3449125523582966,0.16143456301391093,0.782558375045775,0.23644352670213478,3843.0,0.0
mffcnn_margin,extrapolation,0.02,0.8267677424695766,0.15629294193724286,0.32306983443885023,0.10634751490247564,0.7398831289757005,0.16310732126676142,0.3013132682693095,0.1180470208362699,0.7743432167450236,0.19288460581835892,7687.0,0.0
mffcnn_margin,extrapolation,0.03,0.8322005834581724,0.13965202800369114,0.30383204454486157,0.07668266306347982,0.7400177900571169,0.1509974967941945,0.2863599580211992,0.08422097465081602,0.7810449999965262,0.17007549057278468,11530.0,0.0
mffcnn_margin,extrapolation,0.05,0.8412390544357033,0.10771451716835766,0.317945013679126,0.03775343399103945,0.7319215380266183,0.12098062929109028,0.2998504154739038,0.04490852335478962,0.790721607153289,0.12942955612253212,19217.0,0.0
mffcnn_margin,extrapolation,0.08,0.8482897074954837,0.08154860289132092,0.31106724528974916,0.035031084173552635,0.7226982401486467,0.10229860839146916,0.290703154974172,0.04453475466541583,0.7993866598704077,0.09762563765694925,30747.0,0.0
mffcnn_margin,extrapolation,0.1,0.8510338857167187,0.07083381368256166,0.30722206551565184,0.03672442757144181,0.71790916392461,0.09277537650509159,0.288686434872589,0.042379671408158015,0.8038506398914005,0.08418888365550904,38434.0,0.0
mffcnn_margin,extrapolation,0.2,0.842848661459787,0.04810939388047384,0.29400833005572796,0.04193786667238794,0.6857875968410782,0.06514625034892549,0.2757271699865157,0.04987633861216094,0.7968708058162153,0.055972851808104275,76868.0,0.0
mffcnn_margin,extrapolation,0.3,0.8238949279790209,0.03676250899257867,0.294411725252508,0.02666913266343858,0.6499881784034522,0.04924762855451563,0.2717060730637645,0.03449380943598615,0.777830686479046,0.04325955599613881,115301.0,0.0
mffcnn_margin,extrapolation,0.4,0.8018219072370697,0.02974821099564342,0.2873093648236214,0.023007825822213456,0.6165873894962137,0.03753661640574261,0.26061017892637134,0.029537161918455238,0.7562078149107038,0.03604790128150317,153735.0,0.0
mffcnn_margin,extrapolation,0.5,0.7797672408613819,0.02373743757667872,0.2844717231516164,0.02151106037089831,0.5848937501802288,0.02782738438908073,0.2553168377407587,0.026693406094989647,0.737014723694369,0.028820138070010957,192169.0,0.0
mffcnn_margin,interpolation,0.01,0.9154033956797565,0.14283881548659372,0.5735970631428136,0.14240297714864425,0.6711356790835528,0.3673851903933321,0.5553414718169025,0.14129823696779825,0.8867217916984167,0.1866770185630835,1247.8181818181818,279.7830653137599
mffcnn_margin,interpolation,0.02,0.9184355410591883,0.12461073356730167,0.5667787239114215,0.12663129736018838,0.725855501284231,0.2607117435842254,0.5581887043759229,0.12255104414329465,0.8897587886214443,0.16433014638520554,2495.6363636363635,559.5650583671701
mffcnn_margin,interpolation,0.03,0.9214815021660837,0.11088728612195928,0.562835618917854,0.14494685115043307,0.7482004430412434,0.21753781841427067,0.5587818715584665,0.14198509696327524,0.8950922992926937,0.14626726831599451,3743.4545454545455,839.211697205939
mffcnn_margin,interpolation,0.05,0.9197847383405837,0.09278457633015326,0.5697709441088055,0.12313570149432543,0.7484166053380655,0.1737790986423088,0.5608583907346113,0.10649677083847135,0.8955518319075856,0.12341503357319192,6239.272727272727,1398.644207145555
mffcnn_margin,interpolation,0.08,0.9047290443489587,0.07342224617449515,0.5724959594606911,0.12695649858303598,0.7204574803463453,0.14771325387231868,0.568920592358724,0.10297443770739591,0.8803997687697582,0.09851169103885093,9982.727272727272,2237.8558528604603
mffcnn_margin,interpolation,0.1,0.8974226717687117,0.06965096188741615,0.5786657081007004,0.11082512178044873,0.7149845173396573,0.14028692970520007,0.5747067804726306,0.07454145547411936,0.8736264649254027,0.09152754632401927,12478.545454545454,2797.4809155251214
mffcnn_margin,interpolation,0.2,0.8717068774285945,0.06003609165784778,0.5301236624334661,0.08866305710032271,0.6897246008095044,0.11107581177384453,0.5281336395610876,0.0725608308489124,0.8568264515152162,0.06133962599836614,24956.81818181818,5595.035885822036
mffcnn_margin,interpolation,0.3,0.8402478482378111,0.0641810238933157,0.507811873380289,0.08563810228794574,0.6342438367879205,0.1087289259638874,0.5078251302363834,0.07241286478894124,0.8333492785692617,0.055282319799329516,37435.36363636364,8392.516789053532
mffcnn_margin,interpolation,0.4,0.8085381695775156,0.06804450879868823,0.5049934083823331,0.07990026542313987,0.5841039423226712,0.10392541248060419,0.49865189924038966,0.06946628668497673,0.8075161067632121,0.055533790600998445,49913.63636363636,11190.070350741567
mffcnn_margin,interpolation,0.5,0.7778802098262522,0.06832094441463667,0.49452959917658146,0.05961210305023351,0.5414127330840205,0.09427276028610684,0.4813744545471609,0.055941851179020875,0.7810270842784324,0.0556100536672273,62392.36363636364,13987.47013060423
