Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,window,epochs,hidden,train_time
0.6875,0.6868055555555556,0.5380902641593356,0.5722002434570908,0.7771578286670724,0,interpolation,mrssl_margin,0.01,80,31,8,96,4.668014764785767
0.7875,0.7305336832895888,0.625760090211364,0.6312679738562091,0.8351241830065359,0,interpolation,mrssl_margin,0.02,160,31,8,96,4.668014764785767
0.8291666666666667,0.747046323841904,0.6907928094043461,0.6442197757181627,0.8637877771519279,0,interpolation,mrssl_margin,0.03,240,31,8,96,4.668014764785767
0.84,0.5405943653750408,0.6704470349036499,0.4630362829894132,0.8668662408900105,0,interpolation,mrssl_margin,0.05,400,31,8,96,4.668014764785767
0.8421875,0.5153218405236745,0.6533569850206095,0.4483848818182573,0.8666593450548339,0,interpolation,mrssl_margin,0.08,640,31,8,96,4.668014764785767
0.84875,0.5159870200876215,0.6464470264003593,0.4494972710902701,0.8747981371474823,0,interpolation,mrssl_margin,0.1,800,31,8,96,4.668014764785767
0.835625,0.5332679323994344,0.6016929047149742,0.4836410046553763,0.8619805067354782,0,interpolation,mrssl_margin,0.2,1600,31,8,96,4.668014764785767
0.8241666666666667,0.5469946057468628,0.5817743929064013,0.5123860376853571,0.8457578130267139,0,interpolation,mrssl_margin,0.3,2400,31,8,96,4.668014764785767
0.8040625,0.5137060323400349,0.5741428492405729,0.497440967540444,0.8192996323041294,0,interpolation,mrssl_margin,0.4,3200,31,8,96,4.668014764785767
0.77975,0.5116988424040424,0.5634966948856793,0.49160875963401707,0.7921950431423316,0,interpolation,mrssl_margin,0.5,4000,31,8,96,4.668014764785767
0.643125,0.45572164288544886,0.432064897870186,0.41399596695010754,0.6590434578976607,0,interpolation,mrssl_full,1.0,8000,31,8,96,4.668014764785767
0.9632352941176471,0.5809523809523809,0.8768610084327857,0.5836808110538795,0.9521941594886667,0,extrapolation,mrssl_margin,0.01,272,31,8,96,4.668014764785767
0.9430147058823529,0.4741784037558685,0.7929026997366837,0.47222222222222215,0.9248511904761905,0,extrapolation,mrssl_margin,0.02,544,31,8,96,4.668014764785767
0.9215686274509803,0.40706605222734255,0.7272365803332808,0.39259334451631894,0.8940294269165218,0,extrapolation,mrssl_margin,0.03,816,31,8,96,4.668014764785767
0.9272058823529412,0.35258620689655173,0.7206480899619077,0.34417344173441733,0.9021859556830863,0,extrapolation,mrssl_margin,0.05,1360,31,8,96,4.668014764785767
0.9319852941176471,0.38922686500379816,0.7027781915463709,0.40619074627053525,0.909979531400069,0,extrapolation,mrssl_margin,0.08,2176,31,8,96,4.668014764785767
0.9286764705882353,0.39863281086333335,0.6811743706009744,0.40202468156909654,0.9063564953498106,0,extrapolation,mrssl_margin,0.1,2720,31,8,96,4.668014764785767
0.9042279411764705,0.3210521696887953,0.6159845784933314,0.3052760294836506,0.8777770678025776,0,extrapolation,mrssl_margin,0.2,5440,31,8,96,4.668014764785767
0.8747549019607843,0.28014213996440174,0.596409326988318,0.26518352615645946,0.8433607933480087,0,extrapolation,mrssl_margin,0.3,8160,31,8,96,4.668014764785767
0.8441176470588235,0.27955696114512096,0.5860073901041132,0.2558754531758675,0.8078537770532207,0,extrapolation,mrssl_margin,0.4,10880,31,8,96,4.668014764785767
0.8050735294117647,0.2561138541153511,0.5587987470517447,0.23456983140440146,0.7638418174423153,0,extrapolation,mrssl_margin,0.5,13600,31,8,96,4.668014764785767
0.646875,0.2599360155294948,0.41955003565142346,0.21365341264294047,0.6181326014754174,0,extrapolation,mrssl_full,1.0,27200,31,8,96,4.668014764785767
0.975,0.5,0.9512163274564396,0.4945652173913043,0.9627717391304348,1,interpolation,mrssl_margin,0.01,80,31,8,96,4.500407457351685
0.9625,0.6,0.9315827501718584,0.5923955669224211,0.9441346973572038,1,interpolation,mrssl_margin,0.02,160,31,8,96,4.500407457351685
0.95,0.5955882352941176,0.9059253161460474,0.4921497584541063,0.9378472222222222,1,interpolation,mrssl_margin,0.03,240,31,8,96,4.500407457351685
0.945,0.4928978600130829,0.8858436390678639,0.42164648273131716,0.942560593276101,1,interpolation,mrssl_margin,0.05,400,31,8,96,4.500407457351685
0.921875,0.4865055649387207,0.8341528057966189,0.4159887105569557,0.9181460686835861,1,interpolation,mrssl_margin,0.08,640,31,8,96,4.500407457351685
0.92,0.49334123649420336,0.8273636576635194,0.42623126056958194,0.917573641707765,1,interpolation,mrssl_margin,0.1,800,31,8,96,4.500407457351685
0.908125,0.4402447384176108,0.7935767795261036,0.4155255686334528,0.9034794799485597,1,interpolation,mrssl_margin,0.2,1600,31,8,96,4.500407457351685
0.8908333333333334,0.43907585881280464,0.7578409953452457,0.4274047503447097,0.8843722385474128,1,interpolation,mrssl_margin,0.3,2400,31,8,96,4.500407457351685
0.870625,0.4424004997896804,0.7134865560152062,0.4196685434697584,0.8641216706713482,1,interpolation,mrssl_margin,0.4,3200,31,8,96,4.500407457351685
0.8415,0.4404060921367285,0.6545623698675217,0.4102802266495859,0.8367683238940814,1,interpolation,mrssl_margin,0.5,4000,31,8,96,4.500407457351685
0.669,0.39839045291617003,0.42648370516050327,0.354262649963827,0.6835979497076182,1,interpolation,mrssl_full,1.0,8000,31,8,96,4.500407457351685
0.6617647058823529,0.243761733416771,0.5678677918184298,0.18504340242566827,0.5747324332320849,1,extrapolation,mrssl_margin,0.01,272,31,8,96,4.500407457351685
0.7794117647058824,0.21663026066695792,0.6447398252929348,0.1798418835231745,0.7112366883213194,1,extrapolation,mrssl_margin,0.02,544,31,8,96,4.500407457351685
0.8198529411764706,0.17799295497790568,0.6912092102322492,0.15521539465201437,0.7565904761430859,1,extrapolation,mrssl_margin,0.03,816,31,8,96,4.500407457351685
0.8264705882352941,0.2243511977886978,0.7087426220700931,0.21963665633722335,0.7611565764714932,1,extrapolation,mrssl_margin,0.05,1360,31,8,96,4.500407457351685
0.8492647058823529,0.23837171026814066,0.7330824254551841,0.234341955748185,0.792289561909761,1,extrapolation,mrssl_margin,0.08,2176,31,8,96,4.500407457351685
0.8514705882352941,0.23276148851437622,0.736235685495331,0.23024073588214425,0.7949220888686875,1,extrapolation,mrssl_margin,0.1,2720,31,8,96,4.500407457351685
0.8439338235294118,0.25256419237638916,0.714006342083714,0.23639509394392358,0.7881060054824184,1,extrapolation,mrssl_margin,0.2,5440,31,8,96,4.500407457351685
0.835171568627451,0.2962071014044307,0.6911771235417027,0.26444964230756185,0.7833033279517152,1,extrapolation,mrssl_margin,0.3,8160,31,8,96,4.500407457351685
0.8173713235294118,0.30799959210263145,0.6543789782322883,0.2549846032018347,0.7674747617981997,1,extrapolation,mrssl_margin,0.4,10880,31,8,96,4.500407457351685
0.7900735294117647,0.3118937268471573,0.6068297408186764,0.2424452037078816,0.7414456996131766,1,extrapolation,mrssl_margin,0.5,13600,31,8,96,4.500407457351685
0.6207720588235294,0.2589378074334295,0.39509856611754446,0.19501060576854048,0.5937093610972747,1,extrapolation,mrssl_full,1.0,27200,31,8,96,4.500407457351685
0.975,0.6622222222222223,0.7891357730136052,0.6251851851851852,0.9694444444444444,2,interpolation,mrssl_margin,0.01,80,31,8,96,4.789381980895996
0.94375,0.5971830985915493,0.7023047180885216,0.5715494040753557,0.9230560361399462,2,interpolation,mrssl_margin,0.02,160,31,8,96,4.789381980895996
0.925,0.5480861244019138,0.6348312717675759,0.5477106227106228,0.8949881715506716,2,interpolation,mrssl_margin,0.03,240,31,8,96,4.789381980895996
0.9225,0.5711582878765541,0.7491103086530785,0.5696930281487703,0.8914864903435468,2,interpolation,mrssl_margin,0.05,400,31,8,96,4.789381980895996
0.903125,0.4767922384184196,0.7292131275265548,0.48622489537399377,0.8675216433151665,2,interpolation,mrssl_margin,0.08,640,31,8,96,4.789381980895996
0.90375,0.48998610326820086,0.7424757612412858,0.5070760468148026,0.87068116498742,2,interpolation,mrssl_margin,0.1,800,31,8,96,4.789381980895996
0.884375,0.4671941246048706,0.7063966086149679,0.4751540940262745,0.8517531268074032,2,interpolation,mrssl_margin,0.2,1600,31,8,96,4.789381980895996
0.8575,0.5198152370493714,0.6605205215595576,0.5283928889508313,0.8372410132444633,2,interpolation,mrssl_margin,0.3,2400,31,8,96,4.789381980895996
0.835,0.5426695634392126,0.6249932586073375,0.4865427112012124,0.8238269115590136,2,interpolation,mrssl_margin,0.4,3200,31,8,96,4.789381980895996
0.8055,0.4705800042718048,0.5804959964548764,0.475395433705469,0.79817082627694,2,interpolation,mrssl_margin,0.5,4000,31,8,96,4.789381980895996
0.644875,0.4036869130852185,0.3969425652049055,0.41221257985403176,0.6675381480097285,2,interpolation,mrssl_full,1.0,8000,31,8,96,4.789381980895996
0.7132352941176471,0.3934959349593496,0.596554870397722,0.34543810619759985,0.6091587814642543,2,extrapolation,mrssl_margin,0.01,272,31,8,96,4.789381980895996
0.7261029411764706,0.2483863906561275,0.6108079992785742,0.22235829762368522,0.6294042456289098,2,extrapolation,mrssl_margin,0.02,544,31,8,96,4.789381980895996
0.7132352941176471,0.25515630062170436,0.5978896339636111,0.232861375512948,0.6180780345493891,2,extrapolation,mrssl_margin,0.03,816,31,8,96,4.789381980895996
0.6867647058823529,0.33861403655058286,0.5664681732267047,0.31915220826084845,0.5950891935731871,2,extrapolation,mrssl_margin,0.05,1360,31,8,96,4.789381980895996
0.6755514705882353,0.3451471822869478,0.5273596222531173,0.3298362448966483,0.5942890267420738,2,extrapolation,mrssl_margin,0.08,2176,31,8,96,4.789381980895996
0.6768382352941177,0.31618847396706606,0.5195076258140352,0.2937053770155297,0.6017431594228284,2,extrapolation,mrssl_margin,0.1,2720,31,8,96,4.789381980895996
0.7073529411764706,0.31659943820743996,0.5455722659236599,0.27078727343371795,0.6447392707038991,2,extrapolation,mrssl_margin,0.2,5440,31,8,96,4.789381980895996
0.7182598039215686,0.327030784772931,0.5548533085070974,0.2794257611736945,0.6607913544158639,2,extrapolation,mrssl_margin,0.3,8160,31,8,96,4.789381980895996
0.727389705882353,0.3258007648330445,0.5591523181103292,0.2737362412019269,0.6746345209765682,2,extrapolation,mrssl_margin,0.4,10880,31,8,96,4.789381980895996
0.7227205882352942,0.32721578362438347,0.5449050307499415,0.26573670428951934,0.6698838791416728,2,extrapolation,mrssl_margin,0.5,13600,31,8,96,4.789381980895996
0.6421323529411764,0.26795399766750433,0.4243250825368674,0.21258842293287916,0.6179764547658887,2,extrapolation,mrssl_full,1.0,27200,31,8,96,4.789381980895996
0.975,0.6666666666666666,0.5749142807083837,0.6623931623931624,0.9626602564102564,3,interpolation,mrssl_margin,0.01,80,31,8,96,4.524109125137329
0.975,0.8,0.8591037577123619,0.7972602739726027,0.9626712328767123,3,interpolation,mrssl_margin,0.02,160,31,8,96,4.524109125137329
0.9666666666666667,0.8,0.8637822439619844,0.7961904761904762,0.9503174603174603,3,interpolation,mrssl_margin,0.03,240,31,8,96,4.524109125137329
0.965,0.7350427350427351,0.8963478549647426,0.7690704941452697,0.9512288621149538,3,interpolation,mrssl_margin,0.05,400,31,8,96,4.524109125137329
0.9375,0.6290397253434523,0.8433263251755035,0.6373181123745362,0.9161818345765168,3,interpolation,mrssl_margin,0.08,640,31,8,96,4.524109125137329
0.9275,0.6218710761146735,0.8275658546743727,0.6199208108352356,0.9007195288317129,3,interpolation,mrssl_margin,0.1,800,31,8,96,4.524109125137329
0.905625,0.5862496128793893,0.7694332388503924,0.5993596128048162,0.8779385336587905,3,interpolation,mrssl_margin,0.2,1600,31,8,96,4.524109125137329
0.885,0.5114691145884835,0.7315295167918385,0.5198264219771653,0.8625965679506649,3,interpolation,mrssl_margin,0.3,2400,31,8,96,4.524109125137329
0.85875,0.5131754490077005,0.6885817801165507,0.5234848587980118,0.8373618074985274,3,interpolation,mrssl_margin,0.4,3200,31,8,96,4.524109125137329
0.8215,0.5027634048635035,0.6260778830663842,0.5125589862838055,0.8074990049395643,3,interpolation,mrssl_margin,0.5,4000,31,8,96,4.524109125137329
0.650125,0.43198075208020537,0.4022051954787087,0.41092499531215887,0.6547233332446761,3,interpolation,mrssl_full,1.0,8000,31,8,96,4.524109125137329
0.7169117647058824,0.6576576576576577,0.6601883589247477,0.5975912248608047,0.6124457338585021,3,extrapolation,mrssl_margin,0.01,272,31,8,96,4.524109125137329
0.7555147058823529,0.4854620729037784,0.6830232769358462,0.4491219032437257,0.6631606752451297,3,extrapolation,mrssl_margin,0.02,544,31,8,96,4.524109125137329
0.7610294117647058,0.4318465877044557,0.6882812276917151,0.39271869653101327,0.6703691459622187,3,extrapolation,mrssl_margin,0.03,816,31,8,96,4.524109125137329
0.7647058823529411,0.4168294505102845,0.6726521630293462,0.38066326782295845,0.6894590611543988,3,extrapolation,mrssl_margin,0.05,1360,31,8,96,4.524109125137329
0.7555147058823529,0.40332899394366034,0.6444284108375468,0.37296697918812705,0.688904886798141,3,extrapolation,mrssl_margin,0.08,2176,31,8,96,4.524109125137329
0.7477941176470588,0.3978572489081329,0.6247969606661171,0.3543378222716059,0.6820619751955869,3,extrapolation,mrssl_margin,0.1,2720,31,8,96,4.524109125137329
0.7568014705882353,0.3578657734845646,0.6171236656643708,0.3170123091009557,0.6900665161719368,3,extrapolation,mrssl_margin,0.2,5440,31,8,96,4.524109125137329
0.7802696078431373,0.3336638505896936,0.6236248099412561,0.289943222923068,0.724079178671224,3,extrapolation,mrssl_margin,0.3,8160,31,8,96,4.524109125137329
0.7840073529411765,0.3437684668210004,0.6133337510509047,0.29518068874178005,0.7324608003763313,3,extrapolation,mrssl_margin,0.4,10880,31,8,96,4.524109125137329
0.7808088235294117,0.30551565104319495,0.5991392597480406,0.26602747133390503,0.733452050461934,3,extrapolation,mrssl_margin,0.5,13600,31,8,96,4.524109125137329
0.669889705882353,0.29703736008929393,0.46024522838513665,0.23701980391496233,0.6429475409000949,3,extrapolation,mrssl_full,1.0,27200,31,8,96,4.524109125137329
0.8875,0.7321428571428572,0.7455310993346371,0.7224480578139114,0.8413843721770551,4,interpolation,mrssl_margin,0.01,80,31,8,96,4.759936571121216
0.8875,0.7542892156862745,0.800510436259371,0.7506139686474328,0.8478376253758407,4,interpolation,mrssl_margin,0.02,160,31,8,96,4.759936571121216
0.8916666666666667,0.7624740124740125,0.8094547789746737,0.7599851821916885,0.8530643115331942,4,interpolation,mrssl_margin,0.03,240,31,8,96,4.759936571121216
0.8625,0.6817061283973048,0.7458650483983369,0.7153720947838595,0.8331904761904763,4,interpolation,mrssl_margin,0.05,400,31,8,96,4.759936571121216
0.825,0.5789688558910345,0.68284362101968,0.6114246657330513,0.7888143529577848,4,interpolation,mrssl_margin,0.08,640,31,8,96,4.759936571121216
0.8275,0.5768859601616064,0.675519992640537,0.6037210655763454,0.7969099031705831,4,interpolation,mrssl_margin,0.1,800,31,8,96,4.759936571121216
0.83,0.3262413739030367,0.6647328797737666,0.3423099844411825,0.8189197461733648,4,interpolation,mrssl_margin,0.2,1600,31,8,96,4.759936571121216
0.8145833333333333,0.37732110530367385,0.6329279268774761,0.355477506585566,0.8144237912686393,4,interpolation,mrssl_margin,0.3,2400,31,8,96,4.759936571121216
0.785625,0.434215815195843,0.5969629246427132,0.4230029387894946,0.7915457045967014,4,interpolation,mrssl_margin,0.4,3200,31,8,96,4.759936571121216
0.7605,0.39294532411329547,0.5656054149993315,0.39197909794675506,0.7690952986640548,4,interpolation,mrssl_margin,0.5,4000,31,8,96,4.759936571121216
0.60325,0.34474922080390347,0.36773686685464824,0.30453593312829164,0.6323510631715074,4,interpolation,mrssl_full,1.0,8000,31,8,96,4.759936571121216
0.7279411764705882,0.3322372216453214,0.6073891976486522,0.31064235068209006,0.6370319851751984,4,extrapolation,mrssl_margin,0.01,272,31,8,96,4.759936571121216
0.6341911764705882,0.2744820065936284,0.527130541144092,0.23236126997744097,0.5241965028731443,4,extrapolation,mrssl_margin,0.02,544,31,8,96,4.759936571121216
0.6421568627450981,0.263785165281234,0.5339238703330469,0.24835990689500798,0.5410624906230082,4,extrapolation,mrssl_margin,0.03,816,31,8,96,4.759936571121216
0.675,0.2742512919716619,0.5630638126357782,0.24943486889240157,0.5812899454011358,4,extrapolation,mrssl_margin,0.05,1360,31,8,96,4.759936571121216
0.7155330882352942,0.32959182230619277,0.6018475343278552,0.3148744795873982,0.6304285503824736,4,extrapolation,mrssl_margin,0.08,2176,31,8,96,4.759936571121216
0.7264705882352941,0.30178244330815746,0.6121565242989397,0.2878023742409332,0.6450004741374629,4,extrapolation,mrssl_margin,0.1,2720,31,8,96,4.759936571121216
0.7770220588235294,0.3089123220370767,0.6588703782962572,0.2930255782534732,0.7183378787999456,4,extrapolation,mrssl_margin,0.2,5440,31,8,96,4.759936571121216
0.7906862745098039,0.31843549221113565,0.6646542226749191,0.29298488523278643,0.7405273136221779,4,extrapolation,mrssl_margin,0.3,8160,31,8,96,4.759936571121216
0.7712316176470588,0.323835993007134,0.6311484829257331,0.28108717274458445,0.7211921946000939,4,extrapolation,mrssl_margin,0.4,10880,31,8,96,4.759936571121216
0.7618382352941176,0.31954623550891087,0.6159612947116164,0.2804297282467256,0.719695293637161,4,extrapolation,mrssl_margin,0.5,13600,31,8,96,4.759936571121216
0.6338970588235294,0.26926084905877945,0.4383150103317085,0.22680019759249703,0.6233988975923545,4,extrapolation,mrssl_full,1.0,27200,31,8,96,4.759936571121216
0.9875,0.6666666666666666,0.9715576316379775,0.6598639455782312,0.9813775510204081,5,interpolation,mrssl_margin,0.01,80,31,8,96,4.519721269607544
0.9875,0.5,0.9667072227012319,0.493421052631579,0.9814144736842106,5,interpolation,mrssl_margin,0.02,160,31,8,96,4.519721269607544
0.9833333333333333,0.7277700186219739,0.9589889089742429,0.7207344277917352,0.9793541299681384,5,interpolation,mrssl_margin,0.03,240,31,8,96,4.519721269607544
0.98,0.7916202155332591,0.952053859344109,0.8400390064819595,0.9782544312510756,5,interpolation,mrssl_margin,0.05,400,31,8,96,4.519721269607544
0.9359375,0.8213826865142654,0.8676808921952298,0.8153635485905814,0.9371422497504192,5,interpolation,mrssl_margin,0.08,640,31,8,96,4.519721269607544
0.9125,0.8102966803054041,0.8290249923562283,0.785458023121253,0.9170858093706371,5,interpolation,mrssl_margin,0.1,800,31,8,96,4.519721269607544
0.836875,0.6712975073020804,0.7194852032806484,0.6198891002524531,0.8568388632111862,5,interpolation,mrssl_margin,0.2,1600,31,8,96,4.519721269607544
0.7979166666666667,0.6559842816398211,0.6524263054527529,0.5978372073542529,0.8227059134941949,5,interpolation,mrssl_margin,0.3,2400,31,8,96,4.519721269607544
0.7803125,0.6320086126573479,0.6227216675742475,0.5821089154189956,0.8029098208843677,5,interpolation,mrssl_margin,0.4,3200,31,8,96,4.519721269607544
0.76475,0.6064697194954813,0.5974659989354146,0.49198549689511895,0.7851562749795885,5,interpolation,mrssl_margin,0.5,4000,31,8,96,4.519721269607544
0.651125,0.4394325821386093,0.45086823832997447,0.3947336293329853,0.6789944752860139,5,interpolation,mrssl_full,1.0,8000,31,8,96,4.519721269607544
0.8161764705882353,0.3060344827586207,0.6855492660288569,0.2879072103655411,0.7658307118591333,5,extrapolation,mrssl_margin,0.01,272,31,8,96,4.519721269607544
0.7665441176470589,0.3586262282690854,0.6328908989428031,0.3356014968966776,0.6917486792088139,5,extrapolation,mrssl_margin,0.02,544,31,8,96,4.519721269607544
0.758578431372549,0.3774552636303788,0.6310434880314784,0.34268929854110514,0.676851429487704,5,extrapolation,mrssl_margin,0.03,816,31,8,96,4.519721269607544
0.7492647058823529,0.33092563900381133,0.6229037206330305,0.3080915122327601,0.6763554785181214,5,extrapolation,mrssl_margin,0.05,1360,31,8,96,4.519721269607544
0.7536764705882353,0.27519283803177486,0.6283442631485495,0.25522458127003367,0.6858532974793567,5,extrapolation,mrssl_margin,0.08,2176,31,8,96,4.519721269607544
0.7584558823529411,0.27175390855364945,0.6287476841102763,0.2544969356149358,0.693846634055379,5,extrapolation,mrssl_margin,0.1,2720,31,8,96,4.519721269607544
0.7693014705882353,0.3576895950788335,0.6410056452638091,0.31163792592410694,0.7169375217846171,5,extrapolation,mrssl_margin,0.2,5440,31,8,96,4.519721269607544
0.7825980392156863,0.36821562407330083,0.6506982480679928,0.3102694501064763,0.7405424662476225,5,extrapolation,mrssl_margin,0.3,8160,31,8,96,4.519721269607544
0.7847426470588236,0.37677805327324077,0.6446107990591209,0.31178596233951056,0.7471972413708473,5,extrapolation,mrssl_margin,0.4,10880,31,8,96,4.519721269607544
0.7829411764705883,0.37038638130106816,0.6326473210167616,0.3124945044559679,0.7489158739265903,5,extrapolation,mrssl_margin,0.5,13600,31,8,96,4.519721269607544
0.6481617647058824,0.29300951849847523,0.4479401628331778,0.2462265783880813,0.6360813021359445,5,extrapolation,mrssl_full,1.0,27200,31,8,96,4.519721269607544
1.0,1.0,1.0,1.0,1.0,6,interpolation,mrssl_margin,0.01,80,31,8,96,4.8387837409973145
0.98125,0.7483443708609272,0.8187553408452586,0.7247974797479748,0.9753150315031502,6,interpolation,mrssl_margin,0.02,160,31,8,96,4.8387837409973145
0.9791666666666666,0.7488938053097345,0.8036308562795712,0.720019579050416,0.9713330070158264,6,interpolation,mrssl_margin,0.03,240,31,8,96,4.8387837409973145
