method,split,coverage,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,MCC_mean,MCC_std,F1_macro_mean,F1_macro_std,F1_weighted_mean,F1_weighted_std,kept_rows_mean,kept_rows_std
mrssl_full,extrapolation,1.0,0.6561430481283422,0.023106958117580654,0.2821477113572692,0.01685118130546776,0.44877858983572466,0.036087959899660786,0.22589805553851183,0.017013557919751246,0.6330270428135533,0.02246043348780491,27200.0,0.0
mrssl_full,interpolation,1.0,0.6458409090909091,0.03309621819922797,0.4247974690704756,0.0425579514294552,0.410405965940727,0.03264326606355388,0.38222933132290626,0.045907621957462674,0.6615702508865579,0.030735986870268617,8000.0,0.0
mrssl_margin,extrapolation,0.01,0.7566844919786097,0.12506289704152973,0.43389778545397617,0.13321083926278426,0.6254059164537141,0.14030611048981426,0.3874855694317025,0.13338489055658292,0.676892345427283,0.16313272095856313,272.0,0.0
mrssl_margin,extrapolation,0.02,0.7658756684491977,0.10320761451525227,0.3933951646013149,0.11370213243107899,0.6178322847543373,0.09287790140347515,0.3513485305613162,0.11553304284001682,0.687643788374313,0.1356955574199629,544.0,0.0
mrssl_margin,extrapolation,0.03,0.7751782531194297,0.09275651608799057,0.3597159919978665,0.09718846735753464,0.6226117121847521,0.06834725699413784,0.32538300247848256,0.09086748385720901,0.700200756656001,0.12040494830825044,816.0,0.0
mrssl_margin,extrapolation,0.05,0.7887032085561497,0.08372560890964964,0.3563383620952817,0.06284431165439677,0.6338464055236095,0.05102341369409319,0.33103704469515804,0.06139715212260191,0.7221445296557105,0.10675923630518858,1360.0,0.0
mrssl_margin,extrapolation,0.08,0.803350601604278,0.08242042521700427,0.36255342572262755,0.06100487925807604,0.6470082278412668,0.05341813163600525,0.3448070888276888,0.0666428914280083,0.7452903927735975,0.10274337640090445,2176.0,0.0
mrssl_margin,extrapolation,0.1,0.8048128342245989,0.07978728182675669,0.35322295586959007,0.07042597427755236,0.6425114989269206,0.053718357219112466,0.3313823052179743,0.07277022630933129,0.7489106421341369,0.09815629942494121,2720.0,0.0
mrssl_margin,extrapolation,0.2,0.8115975935828877,0.060101380800830204,0.3505871731584688,0.06184193104839735,0.637752123371161,0.04661318139907919,0.3210259235034841,0.06978648111936443,0.762571761129299,0.0717099659336783,5440.0,0.0
mrssl_margin,extrapolation,0.3,0.810906862745098,0.04539838314347244,0.3372593247828513,0.03414430535742306,0.6309602222404942,0.05010034742558809,0.30248893826589335,0.03558305419476153,0.7666072747538281,0.05237023002999326,8160.0,0.0
mrssl_margin,extrapolation,0.4,0.800860628342246,0.03587424082808923,0.33442940322145587,0.02963795417421043,0.6166210910599739,0.0449412486506243,0.2907259370800985,0.024015199195842035,0.7583662352690218,0.04117575456082891,10880.0,0.0
mrssl_margin,extrapolation,0.5,0.786403743315508,0.029072072446783934,0.3244064335957426,0.030348852674577625,0.5981171588469436,0.04501200754676105,0.27787419352501036,0.025238200549040808,0.7449088246111842,0.03370556646927019,13600.0,0.0
mrssl_margin,interpolation,0.01,0.928409090909091,0.09050050225877704,0.6449444568841121,0.1616733158828058,0.725299412624712,0.289368092120381,0.6283865742414014,0.16448409622781276,0.918347685383408,0.0765146993076155,80.0,0.0
mrssl_margin,interpolation,0.02,0.9323863636363636,0.059478080378022845,0.6266203855519731,0.12630905768500503,0.7758576621183534,0.16533561211649206,0.6123111789248054,0.12134834848769957,0.9187878987041589,0.053244819517298585,160.0,0.0
mrssl_margin,interpolation,0.03,0.928409090909091,0.046353794261357294,0.6377061427413215,0.13152949991272853,0.7688363464945573,0.14485465376028386,0.6140742184285243,0.12898000469663667,0.9110460244368077,0.04592912021967442,240.0,0.0
mrssl_margin,interpolation,0.05,0.9224999999999999,0.04299709292498737,0.5937985953002991,0.11466640506716204,0.7642172486229272,0.12531668985877906,0.5810588198809769,0.14341426922688089,0.9061773789936218,0.043441913989922906,400.0,0.0
mrssl_margin,interpolation,0.08,0.9055397727272727,0.04211430940687718,0.573503929798764,0.11758371118099153,0.7488394632018505,0.07885929917496741,0.5562628220214291,0.12266898176334709,0.8884365877970086,0.043786420294757426,640.0,0.0
mrssl_margin,interpolation,0.1,0.9,0.0382262998470948,0.5584876207310843,0.11567185384664579,0.7433130055749565,0.06582954873614853,0.5392831639515898,0.11862506145873615,0.8839685333776472,0.037896240452766246,800.0,0.0
mrssl_margin,interpolation,0.2,0.8821022727272727,0.04239994907801401,0.5381046710319148,0.10839639051487102,0.7217242633531135,0.05562601314019867,0.5254873436803008,0.1046871474180929,0.8717310733290845,0.033786085091285764,1600.0,0.0
mrssl_margin,interpolation,0.3,0.8575,0.04465142774872938,0.5259407705171409,0.08419550340070851,0.6799193481527408,0.05639840787642792,0.5139914873831061,0.08625790169142745,0.851089008482515,0.03357164810253468,2400.0,0.0
mrssl_margin,interpolation,0.4,0.8305113636363636,0.04371209803023123,0.5245910125844699,0.06982771202360016,0.6381934512495101,0.0540873846613231,0.5041634839559437,0.07738050193863767,0.8264282868493971,0.03278003328077452,3200.0,0.0
mrssl_margin,interpolation,0.5,0.8002272727272728,0.03984978898084884,0.49823592798621735,0.06433696672146129,0.5939375784601407,0.042914559141171676,0.4779795284597729,0.06181264693382013,0.798593953346175,0.03068114811150526,4000.0,0.0
