Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,window,epochs,hidden,synthetic_rows,train_time
0.8,0.738562091503268,0.7041955769924981,0.6045530492898914,0.801983082706767,0,interpolation,mscgan_mscnn_margin,0.01,80,31,8,96,2985,2.592750072479248
0.74375,0.7587542087542087,0.653955370380518,0.6141073633076832,0.7722490495143933,0,interpolation,mscgan_mscnn_margin,0.02,160,31,8,96,2985,2.592750072479248
0.725,0.6539641943734015,0.6190192780004705,0.5021607909433587,0.7505379238700896,0,interpolation,mscgan_mscnn_margin,0.03,240,31,8,96,2985,2.592750072479248
0.725,0.6335104089945156,0.6168800428791845,0.4866159455187657,0.7533885245910824,0,interpolation,mscgan_mscnn_margin,0.05,400,31,8,96,2985,2.592750072479248
0.7234375,0.6748884998318262,0.6102332920238672,0.521135021946066,0.7640064672549036,0,interpolation,mscgan_mscnn_margin,0.08,640,31,8,96,2985,2.592750072479248
0.7175,0.7283158483519193,0.6084911924339523,0.5831355280274222,0.7632037893783311,0,interpolation,mscgan_mscnn_margin,0.1,800,31,8,96,2985,2.592750072479248
0.714375,0.7016551795418481,0.6004018988063861,0.5635443889538538,0.7543365832591212,0,interpolation,mscgan_mscnn_margin,0.2,1600,31,8,96,2985,2.592750072479248
0.7029166666666666,0.6492766194384894,0.5768217653463485,0.5514321908764372,0.7413371455405162,0,interpolation,mscgan_mscnn_margin,0.3,2400,31,8,96,2985,2.592750072479248
0.6903125,0.558775651487946,0.5470133423803915,0.4815345097264037,0.7260934145981095,0,interpolation,mscgan_mscnn_margin,0.4,3200,31,8,96,2985,2.592750072479248
0.668,0.5127494065911213,0.5149524494371718,0.4334735164633149,0.7025827659973907,0,interpolation,mscgan_mscnn_margin,0.5,4000,31,8,96,2985,2.592750072479248
0.5885,0.4482118090341187,0.4031025200635669,0.3727627225539542,0.6209612658606416,0,interpolation,mscgan_mscnn_full,1.0,8000,31,8,96,2985,2.592750072479248
0.9632352941176471,0.6795351473922903,0.788237936883913,0.6599505757400494,0.9556660831428633,0,extrapolation,mscgan_mscnn_margin,0.01,272,31,8,96,2985,2.592750072479248
0.9430147058823529,0.4622799028536733,0.6791674800765741,0.4163658814589666,0.925450723840068,0,extrapolation,mscgan_mscnn_margin,0.02,544,31,8,96,2985,2.592750072479248
0.9313725490196079,0.397876471950546,0.6315306608160197,0.3433954029677044,0.9112705163531808,0,extrapolation,mscgan_mscnn_margin,0.03,816,31,8,96,2985,2.592750072479248
0.8448529411764706,0.3247881991303044,0.6190119500071986,0.2695981786602826,0.8024543692347316,0,extrapolation,mscgan_mscnn_margin,0.05,1360,31,8,96,2985,2.592750072479248
0.8552389705882353,0.30542658106894394,0.7357673865542439,0.2778548965960453,0.803082145107921,0,extrapolation,mscgan_mscnn_margin,0.08,2176,31,8,96,2985,2.592750072479248
0.856985294117647,0.3111617996394991,0.7506100254361014,0.28701617990645834,0.8051210984735969,0,extrapolation,mscgan_mscnn_margin,0.1,2720,31,8,96,2985,2.592750072479248
0.8233455882352941,0.32242521408992314,0.7122667700833347,0.2849260769327344,0.7651137324434265,0,extrapolation,mscgan_mscnn_margin,0.2,5440,31,8,96,2985,2.592750072479248
0.7658088235294118,0.3190090217071342,0.6376842187892969,0.2598978543913128,0.6991153408916394,0,extrapolation,mscgan_mscnn_margin,0.3,8160,31,8,96,2985,2.592750072479248
0.7418198529411765,0.3176138457517872,0.5985755120237399,0.24745747144479055,0.6768734222232202,0,extrapolation,mscgan_mscnn_margin,0.4,10880,31,8,96,2985,2.592750072479248
0.7255882352941176,0.2799572666243297,0.5660135605487883,0.21501098283286765,0.664276451616347,0,extrapolation,mscgan_mscnn_margin,0.5,13600,31,8,96,2985,2.592750072479248
0.626360294117647,0.2488916509992504,0.4136264492478576,0.18005344449881802,0.5917437538258403,0,extrapolation,mscgan_mscnn_full,1.0,27200,31,8,96,2985,2.592750072479248
0.375,0.3319672131147541,0.2698421794738722,0.2552380952380952,0.4630952380952381,1,interpolation,mscgan_mscnn_margin,0.01,80,31,8,96,3051,2.1203970909118652
0.46875,0.2513020833333333,0.17425718710879776,0.22525676937441644,0.5544467787114845,1,interpolation,mscgan_mscnn_margin,0.02,160,31,8,96,3051,2.1203970909118652
0.6083333333333333,0.352842146959794,0.28603253366286036,0.35194702733164274,0.6999473091011552,1,interpolation,mscgan_mscnn_margin,0.03,240,31,8,96,3051,2.1203970909118652
0.71,0.45469273336245813,0.41137568972658367,0.45704340093889345,0.7832461574673414,1,interpolation,mscgan_mscnn_margin,0.05,400,31,8,96,3051,2.1203970909118652
0.7734375,0.5503914768027671,0.5320218182771592,0.48151208026208026,0.8164441703777641,1,interpolation,mscgan_mscnn_margin,0.08,640,31,8,96,3051,2.1203970909118652
0.79125,0.5922032196289088,0.5702009919421298,0.4946825879341217,0.82255101223046,1,interpolation,mscgan_mscnn_margin,0.1,800,31,8,96,3051,2.1203970909118652
0.808125,0.4789120229706975,0.627871434794148,0.37353765166641734,0.8252754887363022,1,interpolation,mscgan_mscnn_margin,0.2,1600,31,8,96,3051,2.1203970909118652
0.7979166666666667,0.5870038404915289,0.6186426781022204,0.46848687268152045,0.8110833714392265,1,interpolation,mscgan_mscnn_margin,0.3,2400,31,8,96,3051,2.1203970909118652
0.766875,0.5182697688485882,0.5754483543544932,0.4302390226885592,0.7826729923408375,1,interpolation,mscgan_mscnn_margin,0.4,3200,31,8,96,3051,2.1203970909118652
0.73125,0.5105972239300036,0.5260940767398885,0.42063558605625906,0.7519859145893218,1,interpolation,mscgan_mscnn_margin,0.5,4000,31,8,96,3051,2.1203970909118652
0.6035,0.4793215157157945,0.3820591058732527,0.34918842994807364,0.6445326017808637,1,interpolation,mscgan_mscnn_full,1.0,8000,31,8,96,3051,2.1203970909118652
0.8860294117647058,0.41871345029239765,0.5459364788969199,0.38512709684058866,0.8447848373681057,1,extrapolation,mscgan_mscnn_margin,0.01,272,31,8,96,3051,2.1203970909118652
0.9191176470588235,0.3829834630605132,0.6161313105578596,0.35957966901817956,0.8965430142892176,1,extrapolation,mscgan_mscnn_margin,0.02,544,31,8,96,3051,2.1203970909118652
0.8627450980392157,0.45023535480542926,0.635626901576822,0.39195586868736426,0.8294008802333015,1,extrapolation,mscgan_mscnn_margin,0.03,816,31,8,96,3051,2.1203970909118652
0.8441176470588235,0.48984714739420127,0.6621575863165989,0.41967808300310405,0.8042189177339216,1,extrapolation,mscgan_mscnn_margin,0.05,1360,31,8,96,3051,2.1203970909118652
