Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,window,epochs,hidden,train_time
0.9625,0.6,0.7929193012336784,0.4988505747126437,0.956293103448276,0,interpolation,multimodel_fusion_margin,0.01,80,31,8,96,118.52396154403688
0.975,0.6428571428571429,0.90198479960581,0.6275362318840579,0.9675452898550724,0,interpolation,multimodel_fusion_margin,0.02,160,31,8,96,118.52396154403688
0.9541666666666668,0.6896428571428572,0.8440787035292794,0.6896880803356489,0.948432484753651,0,interpolation,multimodel_fusion_margin,0.03,240,31,8,96,118.52396154403688
0.9025,0.713982683982684,0.7219186879179406,0.6671300404219659,0.8982972739820565,0,interpolation,multimodel_fusion_margin,0.05,400,31,8,96,118.52396154403688
0.853125,0.6682782796913231,0.6321354049318041,0.6235925631753945,0.8567455624862113,0,interpolation,multimodel_fusion_margin,0.08,640,31,8,96,118.52396154403688
0.8525,0.6636387888488728,0.6615131700911963,0.61929524563472,0.8572765431523034,0,interpolation,multimodel_fusion_margin,0.1,800,31,8,96,118.52396154403688
0.84625,0.6835373537746817,0.7020134546773057,0.6528558442564556,0.8584265452687758,0,interpolation,multimodel_fusion_margin,0.2,1600,31,8,96,118.52396154403688
0.8154166666666667,0.6142782841812578,0.6432767578559603,0.5790793022200339,0.8221014372896422,0,interpolation,multimodel_fusion_margin,0.3,2400,31,8,96,118.52396154403688
0.7778125,0.5817723274035086,0.5864476646973492,0.5541224401541174,0.7876957504745811,0,interpolation,multimodel_fusion_margin,0.4,3200,31,8,96,118.52396154403688
0.7425,0.5031133055984675,0.546819533993245,0.476087042205092,0.7580337025377413,0,interpolation,multimodel_fusion_margin,0.5,4000,31,8,96,118.52396154403688
0.607875,0.442509746025694,0.3963413047482737,0.4120801333443958,0.6331899886911375,0,interpolation,multimodel_fusion_full,1.0,8000,31,8,96,118.52396154403688
0.9191176470588236,0.4,0.2683221485119882,0.3930232558139535,0.8871836525307798,0,extrapolation,multimodel_fusion_margin,0.01,272,31,8,96,118.52396154403688
0.8694852941176471,0.3571891685736079,0.6004988833208532,0.258283983158183,0.8300665900153236,0,extrapolation,multimodel_fusion_margin,0.02,544,31,8,96,118.52396154403688
0.8553921568627451,0.2932385072219371,0.6720270053456013,0.2163871577158718,0.8068144100869072,0,extrapolation,multimodel_fusion_margin,0.03,816,31,8,96,118.52396154403688
0.8536764705882353,0.2897521051839932,0.7261557480754347,0.261271662780994,0.803825276148383,0,extrapolation,multimodel_fusion_margin,0.05,1360,31,8,96,118.52396154403688
0.8340992647058824,0.283608765287587,0.7157898015775652,0.2575901644765377,0.7730630325964538,0,extrapolation,multimodel_fusion_margin,0.08,2176,31,8,96,118.52396154403688
0.8058823529411765,0.2848698758080684,0.6792886082286201,0.2564595600751824,0.7324846202754769,0,extrapolation,multimodel_fusion_margin,0.1,2720,31,8,96,118.52396154403688
0.8143382352941176,0.2906655435131847,0.6832026395634665,0.2713632405956638,0.7507652971272871,0,extrapolation,multimodel_fusion_margin,0.2,5440,31,8,96,118.52396154403688
0.7991421568627451,0.2944314086275551,0.6555359930792292,0.2753917112443798,0.7426013633653498,0,extrapolation,multimodel_fusion_margin,0.3,8160,31,8,96,118.52396154403688
0.778125,0.3090220412553964,0.6267041724949187,0.279590747270933,0.7263306673914426,0,extrapolation,multimodel_fusion_margin,0.4,10880,31,8,96,118.52396154403688
0.7613235294117647,0.3006358071293105,0.6010982524946747,0.2699734126467148,0.7147185598056985,0,extrapolation,multimodel_fusion_margin,0.5,13600,31,8,96,118.52396154403688
0.6397794117647059,0.2664764267765362,0.4407962103978136,0.2127342281356259,0.6149021434991963,0,extrapolation,multimodel_fusion_full,1.0,27200,31,8,96,118.52396154403688
0.9875,0.75,0.9384591349509396,0.7482517482517482,0.9812937062937064,1,interpolation,multimodel_fusion_margin,0.01,80,31,8,96,108.61845707893372
0.96875,0.6,0.8089628043997436,0.5966101694915255,0.9533898305084746,1,interpolation,multimodel_fusion_margin,0.02,160,31,8,96,108.61845707893372
0.9666666666666668,0.6,0.8084183955024512,0.5963636363636364,0.9503030303030304,1,interpolation,multimodel_fusion_margin,0.03,240,31,8,96,108.61845707893372
0.965,0.6,0.8074705790094943,0.5961643835616439,0.947835616438356,1,interpolation,multimodel_fusion_margin,0.05,400,31,8,96,108.61845707893372
0.9515625,0.494070552914686,0.7319786897453976,0.4909425625920471,0.9348179768041238,1,interpolation,multimodel_fusion_margin,0.08,640,31,8,96,108.61845707893372
0.94625,0.4237261364024453,0.7092708780440751,0.4129849071402394,0.9310968475788104,1,interpolation,multimodel_fusion_margin,0.1,800,31,8,96,108.61845707893372
0.9075,0.4109085019134928,0.6868389836374399,0.4012654756369961,0.8878313032122993,1,interpolation,multimodel_fusion_margin,0.2,1600,31,8,96,108.61845707893372
0.8779166666666667,0.4203756885298556,0.6716617320939218,0.401904724534452,0.8627993602572119,1,interpolation,multimodel_fusion_margin,0.3,2400,31,8,96,108.61845707893372
0.8525,0.4195005651768846,0.647002264770307,0.4054517311473952,0.8440471685434144,1,interpolation,multimodel_fusion_margin,0.4,3200,31,8,96,108.61845707893372
0.82125,0.4124015016333185,0.6009053849057079,0.395984887336717,0.8159143452621119,1,interpolation,multimodel_fusion_margin,0.5,4000,31,8,96,108.61845707893372
