Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows
0.55,0.25,0.0,0.1774193548387097,0.3903225806451613,0,interpolation,pdsmvknn_margin,0.01,80
0.5125,0.2,0.0,0.1355371900826446,0.3473140495867768,0,interpolation,pdsmvknn_margin,0.02,160
0.5458333333333333,0.2,0.0,0.1412398921832884,0.3854672057502246,0,interpolation,pdsmvknn_margin,0.03,240
0.6025,0.2,0.0,0.150390015600624,0.4530499219968799,0,interpolation,pdsmvknn_margin,0.05,400
0.653125,0.1666666666666666,0.0,0.1316950220541902,0.5160798676748583,0,interpolation,pdsmvknn_margin,0.08,640
0.66,0.1428571428571428,0.0,0.1135972461273666,0.5248192771084337,0,interpolation,pdsmvknn_margin,0.1,800
0.691875,0.1428571428571428,0.0,0.1168399387830492,0.5658704285186554,0,interpolation,pdsmvknn_margin,0.2,1600
0.7045833333333333,0.1428571428571428,0.0,0.1180989628801899,0.582473926505337,0,interpolation,pdsmvknn_margin,0.3,2400
0.703125,0.125,0.0,0.1032110091743119,0.5805619266055047,0,interpolation,pdsmvknn_margin,0.4,3200
0.69525,0.125,0.0,0.1025291254977142,0.5702669960182863,0,interpolation,pdsmvknn_margin,0.5,4000
0.610625,0.1437376935846756,0.1546348085602284,0.1306303293507252,0.4924882674228193,0,interpolation,pdsmvknn_full,1.0,8000
0.7941176470588235,0.2794117647058823,0.4901970320337555,0.26768438697318,0.7194752577755239,0,extrapolation,pdsmvknn_margin,0.01,272
0.8455882352941176,0.2371428571428571,0.4971181461956348,0.2358037952022914,0.7874097007223942,0,extrapolation,pdsmvknn_margin,0.02,544
0.8688725490196079,0.1845574387947269,0.4906088488858401,0.1845357504437483,0.8178292965893673,0,extrapolation,pdsmvknn_margin,0.03,816
0.8926470588235295,0.1575,0.4693462045309963,0.1612415654520917,0.8514471699611018,0,extrapolation,pdsmvknn_margin,0.05,1360
0.9053308823529412,0.1514563106796116,0.4375624088783749,0.1562452488325703,0.8686309560433169,0,extrapolation,pdsmvknn_margin,0.08,2176
0.9040441176470588,0.1503816793893129,0.4340436162880096,0.155517753697267,0.8669641859197165,0,extrapolation,pdsmvknn_margin,0.1,2720
0.8948529411764706,0.1437751004016064,0.3877076629094169,0.1476325355203518,0.8539064800757524,0,extrapolation,pdsmvknn_margin,0.2,5440
0.8667892156862745,0.143556453190954,0.3604007728112214,0.1445048249552026,0.8151128787368493,0,extrapolation,pdsmvknn_margin,0.3,8160
0.8355698529411765,0.1298178516618662,0.3474362965796286,0.1276511533674857,0.773236153687239,0,extrapolation,pdsmvknn_margin,0.4,10880
0.8113970588235294,0.1295221653405351,0.3480391813061725,0.1246928779748818,0.742525731268205,0,extrapolation,pdsmvknn_margin,0.5,13600
0.6268014705882353,0.1228034867419921,0.3130733205933567,0.1098421242947697,0.5342302450374989,0,extrapolation,pdsmvknn_full,1.0,27200
0.9375,0.3333333333333333,0.0,0.3225806451612903,0.907258064516129,1,interpolation,pdsmvknn_margin,0.01,80
0.925,0.2,0.0,0.1922077922077922,0.888961038961039,1,interpolation,pdsmvknn_margin,0.02,160
0.9208333333333332,0.2,0.0,0.1917570498915401,0.882881417208966,1,interpolation,pdsmvknn_margin,0.03,240
0.9,0.1666666666666666,0.0,0.1578947368421052,0.8526315789473684,1,interpolation,pdsmvknn_margin,0.05,400
0.88125,0.1428571428571428,0.0,0.1338395823445657,0.8256229235880399,1,interpolation,pdsmvknn_margin,0.08,640
0.87625,0.1428571428571428,0.0,0.1334348529551727,0.8184560293137908,1,interpolation,pdsmvknn_margin,0.1,800
0.85875,0.125,0.0,0.1155010087424344,0.7934919300605245,1,interpolation,pdsmvknn_margin,0.2,1600
0.82,0.125,0.0,0.1126373626373626,0.7389010989010989,1,interpolation,pdsmvknn_margin,0.3,2400
0.800625,0.125,0.0,0.1111593196806664,0.7119754425546685,1,interpolation,pdsmvknn_margin,0.4,3200
0.77975,0.125,0.0176663477647294,0.1095616130392019,0.6834453421385415,1,interpolation,pdsmvknn_margin,0.5,4000
0.65525,0.1479526917874164,0.2064133667232635,0.1408933409126762,0.5604961774398952,1,interpolation,pdsmvknn_full,1.0,8000
0.9080882352941176,0.1666666666666666,0.0,0.1586384071933204,0.8643460274283123,1,extrapolation,pdsmvknn_margin,0.01,272
0.9025735294117648,0.1538461538461538,0.1372230938191348,0.1547065337763012,0.8585356817145463,1,extrapolation,pdsmvknn_margin,0.02,544
0.9019607843137256,0.1523809523809523,0.1126214338708741,0.1523780590351053,0.85695984238073,1,extrapolation,pdsmvknn_margin,0.03,816
0.8867647058823529,0.1785714285714285,0.2273664297232315,0.1890396044095631,0.8377386378495507,1,extrapolation,pdsmvknn_margin,0.05,1360
0.8644301470588235,0.1724738675958188,0.2230075493532674,0.1796701451738085,0.8070326491356234,1,extrapolation,pdsmvknn_margin,0.08,2176
0.85,0.1534552845528455,0.2401897676143017,0.1597380189715735,0.787863784156251,1,extrapolation,pdsmvknn_margin,0.1,2720
0.8518382352941176,0.1297872340425531,0.3102385071753517,0.1365990837588146,0.7937202778928654,1,extrapolation,pdsmvknn_margin,0.2,5440
0.8490196078431372,0.1196594924510118,0.3335841804310535,0.1251811743250669,0.7915588646031456,1,extrapolation,pdsmvknn_margin,0.3,8160
0.8354779411764706,0.1239557701090717,0.3582424803923124,0.1277474152054117,0.7748885198523442,1,extrapolation,pdsmvknn_margin,0.4,10880
0.810514705882353,0.1152527376491584,0.3619623674654565,0.11607712652038,0.7431160206809402,1,extrapolation,pdsmvknn_margin,0.5,13600
0.6224264705882353,0.1243603931587451,0.3064133128796858,0.1142157649848614,0.5343593963019093,1,extrapolation,pdsmvknn_full,1.0,27200
0.8625,0.2,0.0,0.185234899328859,0.7988255033557047,2,interpolation,pdsmvknn_margin,0.01,80
0.8625,0.2,0.0,0.185234899328859,0.7988255033557047,2,interpolation,pdsmvknn_margin,0.02,160
0.8375,0.1428571428571428,0.0,0.13022351797862,0.7634353741496599,2,interpolation,pdsmvknn_margin,0.03,240
0.8475,0.1428571428571428,0.0,0.1310651459501256,0.7775439783491204,2,interpolation,pdsmvknn_margin,0.05,400
0.8453125,0.1428571428571428,0.0,0.1308818192814806,0.7744522650296359,2,interpolation,pdsmvknn_margin,0.08,640
0.83625,0.1428571428571428,0.0,0.1301176699406788,0.7616763104152485,2,interpolation,pdsmvknn_margin,0.1,800
0.823125,0.1428571428571428,0.0,0.1289975023262647,0.7432674837161467,2,interpolation,pdsmvknn_margin,0.2,1600
0.7970833333333334,0.1428571428571428,0.0,0.1267265078997052,0.7070811113687302,2,interpolation,pdsmvknn_margin,0.3,2400
