method,split,coverage,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,MCC_mean,MCC_std,F1_macro_mean,F1_macro_std,F1_weighted_mean,F1_weighted_std,kept_rows_mean,kept_rows_std
pdsmvknn_full,extrapolation,1.0,0.6157252673796791,0.016844576340293873,0.1211149811854038,0.01217297722634468,0.2911041404319991,0.06009660098607736,0.10887999679372774,0.012227466896960776,0.5220171278644131,0.030819664856543697,27200.0,0.0
pdsmvknn_full,interpolation,1.0,0.6369772727272728,0.04156985153711981,0.1508507897412173,0.010369524200800631,0.180224843478365,0.04615577986375797,0.14497227713884708,0.014268613386758609,0.5424801628360728,0.049737540297858644,8000.0,0.0
pdsmvknn_margin,extrapolation,0.01,0.8917112299465241,0.06534120826825389,0.24751660018687877,0.09108158610491682,0.243955339917884,0.2589048522250782,0.245011145770861,0.09273557794463509,0.8467136317349303,0.08777949204676241,272.0,0.0
pdsmvknn_margin,extrapolation,0.02,0.8962232620320857,0.04535164262378688,0.19318330055614438,0.043431413095179214,0.27618919908563216,0.2126740088902093,0.19477335712761226,0.04746570241345819,0.8527081911615102,0.061384622332970255,544.0,0.0
pdsmvknn_margin,extrapolation,0.03,0.8995098039215687,0.03871462989934145,0.1826939700947283,0.035723083800221656,0.2785095731774326,0.20424470595478494,0.1862806850496465,0.039620894276131344,0.8573819033540112,0.05253852029415734,816.0,0.0
pdsmvknn_margin,extrapolation,0.05,0.8925133689839572,0.0306059376480161,0.16868217213541015,0.029985124952087792,0.28704934299429646,0.18928149015365683,0.17308577385324678,0.033631409912857624,0.847944377589071,0.04099766300883713,1360.0,0.0
pdsmvknn_margin,extrapolation,0.08,0.8831885026737968,0.028630048638492857,0.15025043138344013,0.017064831588171063,0.28601007766987957,0.18267242839296136,0.153311491549893,0.01864884706168427,0.8351729990476696,0.03893101964885395,2176.0,0.0
pdsmvknn_margin,extrapolation,0.1,0.8772727272727273,0.03053145278485489,0.14387556131664844,0.013566355674311536,0.2890942006882102,0.18041208540325848,0.14633851087248442,0.015460541724096801,0.8272902786011244,0.041496143510993434,2720.0,0.0
pdsmvknn_margin,extrapolation,0.2,0.8605447860962567,0.03177811458797201,0.12973245900470232,0.012685881576864493,0.3000808877020477,0.169916841295611,0.13061713164177194,0.015354911490446087,0.8052977182527513,0.04231593667861184,5440.0,0.0
pdsmvknn_margin,extrapolation,0.3,0.8440173796791445,0.025900138382294668,0.12439709046376389,0.01206736804004391,0.30171470139255996,0.16329191371114185,0.1231213610189207,0.013364463594654093,0.7833854425005743,0.03303628436763343,8160.0,0.0
pdsmvknn_margin,extrapolation,0.4,0.8229361631016043,0.019459540227422936,0.12211091219509917,0.014865204168833957,0.3078273477556962,0.15996572760296968,0.1188017070115383,0.016517673994016067,0.7558508439572255,0.023193443790847618,10880.0,0.0
pdsmvknn_margin,extrapolation,0.5,0.7967179144385027,0.015426157707506452,0.1214345565882221,0.016513443668809333,0.3072774796081386,0.15605183333608402,0.11550657175570476,0.01749476674292199,0.7219057070564268,0.017057165733790042,13600.0,0.0
pdsmvknn_margin,interpolation,0.01,0.9125,0.12686114456365277,0.3590909090909091,0.11934162828797103,0.0,0.0,0.3449981922307596,0.1281184453637302,0.8757112883900848,0.1715429169388023,80.0,0.0
pdsmvknn_margin,interpolation,0.02,0.8948863636363636,0.13254769724689505,0.25,0.06871842709362767,0.0,0.0,0.23640348457452867,0.07419936465204133,0.8509020726088498,0.17621160557737234,160.0,0.0
pdsmvknn_margin,interpolation,0.03,0.8893939393939394,0.12151193980490772,0.212987012987013,0.05029801928681148,0.0,0.0,0.20022912907802162,0.053976511808790824,0.8419941006105927,0.1632909402813855,240.0,0.0
pdsmvknn_margin,interpolation,0.05,0.8815909090909091,0.10112042775369828,0.18192640692640688,0.03981539808355104,0.0,0.0,0.17020075015551617,0.04128455531828164,0.8292545200896452,0.1379715641999922,400.0,0.0
pdsmvknn_margin,interpolation,0.08,0.8764204545454546,0.08400804040252768,0.16396103896103892,0.03209472105123885,0.0,0.0,0.15323235965990895,0.03412723790677021,0.8208114814858205,0.11617455841102324,640.0,0.0
pdsmvknn_margin,interpolation,0.1,0.8693181818181818,0.081042742650799,0.1491341991341991,0.021455610646177643,0.0,0.0,0.13875002185079474,0.023984466889096712,0.8105087469755019,0.1122998695920589,800.0,0.0
pdsmvknn_margin,interpolation,0.2,0.84625,0.06551896194995764,0.14174942704354468,0.021287866213145677,0.007965765971053664,0.026419456893766038,0.13013654229440774,0.02199902469669337,0.7771753797723812,0.09117446541453728,1600.0,0.0
pdsmvknn_margin,interpolation,0.3,0.8197727272727273,0.05610764815796668,0.13211905234407145,0.013481457377820747,0.004711979076805422,0.020781690195059214,0.11896192581034155,0.012471264965662,0.7397042939302779,0.07798041915588667,2400.0,0.0
pdsmvknn_margin,interpolation,0.4,0.7922159090909091,0.05026501146762933,0.12875912171487183,0.007064535204869981,0.010298563721175593,0.027011303074402235,0.11436295760712158,0.007324066078633954,0.7018455537016801,0.0694224443699016,3200.0,0.0
pdsmvknn_margin,interpolation,0.5,0.7658181818181817,0.04970501620926843,0.12927871112485456,0.00715955814674579,0.020842430855313475,0.03045228620616993,0.11331742117991711,0.007956987589791747,0.6665583771324488,0.06813870635393508,4000.0,0.0
