Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,window,epochs,hidden,train_time
0.9375,0.648888888888889,0.659315228036517,0.4931506849315068,0.9618150684931507,0,interpolation,serial_ensemble_margin,0.01,80,31,8,96,118.06137490272522
0.9,0.6509009009009009,0.5855396881338988,0.5491370922312696,0.9221673836226764,0,interpolation,serial_ensemble_margin,0.02,160,31,8,96,118.06137490272522
0.8708333333333333,0.7274143302180685,0.6247110796518909,0.6726851851851853,0.8984027777777779,0,interpolation,serial_ensemble_margin,0.03,240,31,8,96,118.06137490272522
0.86,0.5989974937343359,0.6311243064370363,0.5566080824278735,0.8778425621324619,0,interpolation,serial_ensemble_margin,0.05,400,31,8,96,118.06137490272522
0.846875,0.560124774208749,0.6033912923687887,0.5130159151592097,0.8615367656408877,0,interpolation,serial_ensemble_margin,0.08,640,31,8,96,118.06137490272522
0.8475,0.5744422884776323,0.6013761627496363,0.5217403974368419,0.8628567871251321,0,interpolation,serial_ensemble_margin,0.1,800,31,8,96,118.06137490272522
0.84375,0.6503941897348443,0.653653249022549,0.5972709171698762,0.8592853806852014,0,interpolation,serial_ensemble_margin,0.2,1600,31,8,96,118.06137490272522
0.8325,0.5693369708641509,0.6573501279321944,0.5224135671294041,0.8449764995337128,0,interpolation,serial_ensemble_margin,0.3,2400,31,8,96,118.06137490272522
0.81,0.5305796432043813,0.614418704620698,0.4973024500931028,0.8186925834579327,0,interpolation,serial_ensemble_margin,0.4,3200,31,8,96,118.06137490272522
0.79,0.5277090223838845,0.586245384642152,0.4986985811682249,0.7980732963173283,0,interpolation,serial_ensemble_margin,0.5,4000,31,8,96,118.06137490272522
0.65675,0.4569911447072873,0.44494348980547227,0.42736843408556785,0.667271896613015,0,interpolation,serial_ensemble_full,1.0,8000,31,8,96,118.06137490272522
0.6323529411764706,0.2,0.0,0.15495495495495495,0.48993110757816644,0,extrapolation,serial_ensemble_margin,0.01,272,31,8,96,118.06137490272522
0.4724264705882353,0.18981481481481483,0.2143456385634657,0.1164775419312044,0.32510766732069496,0,extrapolation,serial_ensemble_margin,0.02,544,31,8,96,118.06137490272522
0.4485294117647059,0.2222619282334385,0.2892356406504387,0.12896076462236383,0.3082378811551632,0,extrapolation,serial_ensemble_margin,0.03,816,31,8,96,118.06137490272522
0.5279411764705882,0.21344211344211347,0.3990516284441555,0.14471694765087803,0.38729941393209116,0,extrapolation,serial_ensemble_margin,0.05,1360,31,8,96,118.06137490272522
0.6328125,0.19509413499541328,0.5042709165988969,0.15125753423791596,0.5061298075358833,0,extrapolation,serial_ensemble_margin,0.08,2176,31,8,96,118.06137490272522
0.680514705882353,0.19517866780303517,0.5507789878222443,0.15842664417859603,0.5664349558980164,0,extrapolation,serial_ensemble_margin,0.1,2720,31,8,96,118.06137490272522
0.7683823529411765,0.27093116666329714,0.6324880376179026,0.24850420727390182,0.687259276480933,0,extrapolation,serial_ensemble_margin,0.2,5440,31,8,96,118.06137490272522
0.7959558823529411,0.2815907876230935,0.6517244428337879,0.24218346297744156,0.7278694187970222,0,extrapolation,serial_ensemble_margin,0.3,8160,31,8,96,118.06137490272522
0.7985294117647059,0.2973309682907738,0.6447367518610616,0.25744622050688326,0.7372407280818052,0,extrapolation,serial_ensemble_margin,0.4,10880,31,8,96,118.06137490272522
0.7818382352941177,0.26686290837241616,0.6162137295260725,0.23938617428120146,0.723153900366552,0,extrapolation,serial_ensemble_margin,0.5,13600,31,8,96,118.06137490272522
0.6491911764705882,0.2664154744830378,0.4423182791219978,0.23745276397038814,0.6174616450354358,0,extrapolation,serial_ensemble_full,1.0,27200,31,8,96,118.06137490272522
0.8125,0.7071428571428572,0.4538407121698634,0.5409229179819779,0.8280046490271481,1,interpolation,serial_ensemble_margin,0.01,80,31,8,96,117.18910837173462
0.86875,0.7253787878787878,0.6104257864591064,0.6235026235026235,0.8530714780714781,1,interpolation,serial_ensemble_margin,0.02,160,31,8,96,117.18910837173462
0.8958333333333334,0.5870646766169154,0.6450856316188125,0.5174503095361327,0.8760549771124748,1,interpolation,serial_ensemble_margin,0.03,240,31,8,96,117.18910837173462
0.9275,0.5874296435272045,0.730770155328344,0.5367996414164052,0.9108977396426973,1,interpolation,serial_ensemble_margin,0.05,400,31,8,96,117.18910837173462
0.934375,0.48823227038240535,0.7452659882252117,0.45144284797885526,0.9163146062131933,1,interpolation,serial_ensemble_margin,0.08,640,31,8,96,117.18910837173462
0.92375,0.47997685185185185,0.7134081245496802,0.4499294133655367,0.9091538958719575,1,interpolation,serial_ensemble_margin,0.1,800,31,8,96,117.18910837173462
0.916875,0.5338100177830468,0.7614117152999225,0.49548051875471755,0.9053447840480884,1,interpolation,serial_ensemble_margin,0.2,1600,31,8,96,117.18910837173462
0.8870833333333333,0.5182367182072447,0.7320988638905289,0.46504281001008096,0.8775620489984864,1,interpolation,serial_ensemble_margin,0.3,2400,31,8,96,117.18910837173462
0.8578125,0.5178690021443975,0.6920260899017943,0.46243033254719784,0.8518488538807176,1,interpolation,serial_ensemble_margin,0.4,3200,31,8,96,117.18910837173462
0.82075,0.5156123462428327,0.6369592895452029,0.45771049351385834,0.8225414384266753,1,interpolation,serial_ensemble_margin,0.5,4000,31,8,96,117.18910837173462
0.655625,0.4576307504238367,0.4320327992093751,0.40979582075370946,0.6824933213475438,1,interpolation,serial_ensemble_full,1.0,8000,31,8,96,117.18910837173462
0.9558823529411765,0.3333333333333333,0.1919898656600381,0.3270440251572327,0.9378468368479468,1,extrapolation,serial_ensemble_margin,0.01,272,31,8,96,117.18910837173462
0.9632352941176471,0.2,0.2618940017189783,0.19736346516007533,0.9505372770577156,1,extrapolation,serial_ensemble_margin,0.02,544,31,8,96,117.18910837173462
0.9558823529411765,0.22077922077922077,0.6014882929804819,0.21380752044735948,0.9446268520212183,1,extrapolation,serial_ensemble_margin,0.03,816,31,8,96,117.18910837173462
0.913235294117647,0.2093058350100604,0.7141563617543939,0.18643181025462155,0.8866585280781304,1,extrapolation,serial_ensemble_margin,0.05,1360,31,8,96,117.18910837173462
0.8809742647058824,0.26755401341660884,0.7335628617797957,0.2480956378149439,0.841326938133754,1,extrapolation,serial_ensemble_margin,0.08,2176,31,8,96,117.18910837173462
0.8683823529411765,0.2678342554551811,0.7290404022905635,0.24882560864770917,0.8240188349677378,1,extrapolation,serial_ensemble_margin,0.1,2720,31,8,96,117.18910837173462
0.8082720588235294,0.2587327251770431,0.6691368399453693,0.23277846599569,0.7455618309197343,1,extrapolation,serial_ensemble_margin,0.2,5440,31,8,96,117.18910837173462
0.8058823529411765,0.24384969115514488,0.6627506031472633,0.22396355058526218,0.7472649562830709,1,extrapolation,serial_ensemble_margin,0.3,8160,31,8,96,117.18910837173462
0.8016544117647059,0.27426216026992306,0.6464167057135901,0.24234319667604354,0.7514113349318983,1,extrapolation,serial_ensemble_margin,0.4,10880,31,8,96,117.18910837173462
0.7896323529411765,0.2923913985764372,0.6272442067054222,0.24354067040155222,0.7442982849254813,1,extrapolation,serial_ensemble_margin,0.5,13600,31,8,96,117.18910837173462
0.64,0.2889486366766028,0.4461857304771554,0.20747804677156576,0.621995547677411,1,extrapolation,serial_ensemble_full,1.0,27200,31,8,96,117.18910837173462
0.9875,0.5,0.0,0.4968553459119497,0.9812893081761006,2,interpolation,serial_ensemble_margin,0.01,80,31,8,96,111.55581784248352
0.99375,0.5,0.0,0.49843260188087773,0.9906347962382445,2,interpolation,serial_ensemble_margin,0.02,160,31,8,96,111.55581784248352
0.9958333333333333,0.6666666666666666,0.8153524271265946,0.6659649122807018,0.9937543859649123,2,interpolation,serial_ensemble_margin,0.03,240,31,8,96,111.55581784248352
0.995,0.7,0.9029178208468879,0.7215811965811966,0.9936175213675215,2,interpolation,serial_ensemble_margin,0.05,400,31,8,96,111.55581784248352
0.978125,0.5321296296296296,0.800534259208344,0.5558129027188433,0.9719609706506365,2,interpolation,serial_ensemble_margin,0.08,640,31,8,96,111.55581784248352
0.97,0.5418393580987284,0.8165558208059026,0.574204876677228,0.9639233232307042,2,interpolation,serial_ensemble_margin,0.1,800,31,8,96,111.55581784248352
0.906875,0.5591708729991366,0.7407513201601106,0.56061602064577,0.8858934506517444,2,interpolation,serial_ensemble_margin,0.2,1600,31,8,96,111.55581784248352
0.86125,0.5821314870821548,0.6759110161452518,0.5728039913361239,0.8469230801299606,2,interpolation,serial_ensemble_margin,0.3,2400,31,8,96,111.55581784248352
0.838125,0.5774427373828235,0.6480784451723174,0.574552195999942,0.8277533040830055,2,interpolation,serial_ensemble_margin,0.4,3200,31,8,96,111.55581784248352
0.81525,0.4927548885223412,0.6207556435902692,0.4978602770528464,0.8080056240116815,2,interpolation,serial_ensemble_margin,0.5,4000,31,8,96,111.55581784248352
0.65225,0.41994528979889,0.4297417152052004,0.41845330383591894,0.6767115555630645,2,interpolation,serial_ensemble_full,1.0,8000,31,8,96,111.55581784248352
0.9411764705882353,0.3333333333333333,0.0,0.32323232323232326,0.912655971479501,2,extrapolation,serial_ensemble_margin,0.01,272,31,8,96,111.55581784248352
0.9080882352941176,0.16666666666666666,0.0,0.15863840719332048,0.8643460274283123,2,extrapolation,serial_ensemble_margin,0.02,544,31,8,96,111.55581784248352
0.9117647058823529,0.18092105263157895,0.42221316920048607,0.19507318501170962,0.8777257542361208,2,extrapolation,serial_ensemble_margin,0.03,816,31,8,96,111.55581784248352
0.850735294117647,0.2807017543859649,0.3519499441305382,0.2849616163746699,0.7891206674478062,2,extrapolation,serial_ensemble_margin,0.05,1360,31,8,96,111.55581784248352
0.8350183823529411,0.3738344988344988,0.418560967835895,0.38375364991691474,0.7683357856815856,2,extrapolation,serial_ensemble_margin,0.08,2176,31,8,96,111.55581784248352
0.836764705882353,0.3815706785055444,0.4831097834764257,0.3870527258378642,0.7739572349063951,2,extrapolation,serial_ensemble_margin,0.1,2720,31,8,96,111.55581784248352
0.8431985294117647,0.3262743548125194,0.6342925040978575,0.29871562311857675,0.7946865665598116,2,extrapolation,serial_ensemble_margin,0.2,5440,31,8,96,111.55581784248352
0.835171568627451,0.33863678776835254,0.6601133830524147,0.30410433986837576,0.7948607641649564,2,extrapolation,serial_ensemble_margin,0.3,8160,31,8,96,111.55581784248352
0.8134191176470589,0.36282894492962803,0.6478896387334793,0.3218406741041301,0.7747495666830606,2,extrapolation,serial_ensemble_margin,0.4,10880,31,8,96,111.55581784248352
0.7836764705882353,0.3307819587523472,0.6117742889720914,0.284318044634213,0.74450536857754,2,extrapolation,serial_ensemble_margin,0.5,13600,31,8,96,111.55581784248352
0.6563235294117648,0.3027568762330595,0.46197854384842635,0.22653457323705625,0.6349226952802003,2,extrapolation,serial_ensemble_full,1.0,27200,31,8,96,111.55581784248352
0.925,0.9215686274509804,0.7526505451650553,0.8701298701298701,0.9292207792207792,3,interpolation,serial_ensemble_margin,0.01,80,31,8,96,114.39645886421204
0.93125,0.7425925925925926,0.7470044760370881,0.7373364642737336,0.925979117745723,3,interpolation,serial_ensemble_margin,0.02,160,31,8,96,114.39645886421204
0.9458333333333333,0.7228516694033935,0.7979996981209234,0.7273328713570336,0.940227621388631,3,interpolation,serial_ensemble_margin,0.03,240,31,8,96,114.39645886421204
0.9575,0.7977403414195867,0.8781968259843153,0.8103293588406799,0.9555384879279513,3,interpolation,serial_ensemble_margin,0.05,400,31,8,96,114.39645886421204
0.9515625,0.6357192152223208,0.8728399474722345,0.6567874284925367,0.9456007797605522,3,interpolation,serial_ensemble_margin,0.08,640,31,8,96,114.39645886421204
0.9425,0.5296931592765907,0.850731152715217,0.5427918642204357,0.9342518338143339,3,interpolation,serial_ensemble_margin,0.1,800,31,8,96,114.39645886421204
0.914375,0.5340487981422858,0.7704162766568112,0.5537928676988797,0.898045996364682,3,interpolation,serial_ensemble_margin,0.2,1600,31,8,96,114.39645886421204
0.89625,0.530475786830791,0.7164962819245059,0.5490347268107043,0.8809461098639455,3,interpolation,serial_ensemble_margin,0.3,2400,31,8,96,114.39645886421204
0.8484375,0.45302982116043133,0.6159700760676262,0.4626069179376797,0.8447241958010662,3,interpolation,serial_ensemble_margin,0.4,3200,31,8,96,114.39645886421204
0.81525,0.46651247350847436,0.57348078357953,0.47153785148051186,0.81873657157102,3,interpolation,serial_ensemble_margin,0.5,4000,31,8,96,114.39645886421204
0.6785,0.4588387095708173,0.4461379641324136,0.43908316579986295,0.6855082626635733,3,interpolation,serial_ensemble_full,1.0,8000,31,8,96,114.39645886421204
0.9522058823529411,0.399203187250996,0.6180125492651639,0.3671232876712328,0.9312910095545067,3,extrapolation,serial_ensemble_margin,0.01,272,31,8,96,114.39645886421204
0.7720588235294118,0.29965241571080986,0.47770571556548297,0.2648676576056204,0.7546673331920828,3,extrapolation,serial_ensemble_margin,0.02,544,31,8,96,114.39645886421204
0.7843137254901961,0.3352230844490907,0.4730402360986614,0.27047239593385697,0.7626239558229169,3,extrapolation,serial_ensemble_margin,0.03,816,31,8,96,114.39645886421204
0.8301470588235295,0.2774532485058801,0.531935460445748,0.21999347885474588,0.787109359813261,3,extrapolation,serial_ensemble_margin,0.05,1360,31,8,96,114.39645886421204
0.8694852941176471,0.25906609078314724,0.5927000552248188,0.21543226078312935,0.8285075882809041,3,extrapolation,serial_ensemble_margin,0.08,2176,31,8,96,114.39645886421204
0.8797794117647059,0.25487211516715597,0.6252652401043571,0.2194287512988887,0.8400855212287905,3,extrapolation,serial_ensemble_margin,0.1,2720,31,8,96,114.39645886421204
0.8783088235294118,0.2569580028765395,0.6614021241720388,0.22188791132738503,0.8358102199505072,3,extrapolation,serial_ensemble_margin,0.2,5440,31,8,96,114.39645886421204
