method,split,coverage,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,MCC_mean,MCC_std,F1_macro_mean,F1_macro_std,F1_weighted_mean,F1_weighted_std,kept_rows_mean,kept_rows_std
sva_tcn_full,extrapolation,1.0,0.6809558823529411,0.022399622308975985,0.28854954723315085,0.01981539844812727,0.4911642524193922,0.029864344514495645,0.2334503022544598,0.01262282159225669,0.6496472385612119,0.018871054770637594,27200.0,0.0
sva_tcn_full,interpolation,1.0,0.6510340909090909,0.034812717275313446,0.43901526818337405,0.049638477434388324,0.4206413470510191,0.04393896315564161,0.3930559614826992,0.03832709879219379,0.6688251839425374,0.029744001627458706,8000.0,0.0
sva_tcn_margin,extrapolation,0.01,0.9141042780748663,0.09512433710297087,0.4495970723423932,0.12810573357671284,0.43241759865689067,0.3080800054202137,0.4280069527985581,0.13564502259558653,0.886976117521252,0.11939884514841351,272.0,0.0
sva_tcn_margin,extrapolation,0.02,0.8628008021390374,0.11747250586884309,0.39213527203925486,0.10155916420730428,0.5681603366343583,0.18230967841250895,0.3514649827978001,0.10265856332659046,0.8305368406422814,0.14082040859025935,544.0,0.0
sva_tcn_margin,extrapolation,0.03,0.8403520499108734,0.11337220485214283,0.3408739565417362,0.0849550782587167,0.591051897835451,0.13194978264679644,0.30224598492108534,0.08688628274572534,0.8012501033087659,0.13118459484876863,816.0,0.0
sva_tcn_margin,extrapolation,0.05,0.8407085561497326,0.09509901546809484,0.3283186594725916,0.05946588931149915,0.6515571498961283,0.10082596424651409,0.29212068425169574,0.06727136643860271,0.7982664675191249,0.1112730570432552,1360.0,0.0
sva_tcn_margin,extrapolation,0.08,0.8419117647058824,0.09001254688349444,0.3287815827664347,0.03863222527642328,0.6782279793206459,0.11057096170693319,0.2973193127498701,0.04757575052617259,0.8001381235463573,0.10576316388680039,2176.0,0.0
sva_tcn_margin,extrapolation,0.1,0.8434826203208557,0.08689936753878641,0.32735340759744913,0.03343888299015148,0.6870922950516672,0.11396413247001429,0.2944913633209072,0.04330775443011912,0.8020047738428915,0.10279341766110334,2720.0,0.0
sva_tcn_margin,extrapolation,0.2,0.8545621657754011,0.06048463545675792,0.3245527239930022,0.042520164010715226,0.7107154647939757,0.0870018946672418,0.29092462101876343,0.0475976646560172,0.8139692167862964,0.07470099515524375,5440.0,0.0
sva_tcn_margin,extrapolation,0.3,0.8469251336898396,0.05332444143954114,0.32679048154173757,0.039415105071402494,0.7009433119448667,0.07601169434451116,0.29395952776965195,0.037285421641975326,0.8062527467502903,0.06442282680869857,8160.0,0.0
sva_tcn_margin,extrapolation,0.4,0.8330798796791444,0.046692867300641004,0.3248243756075589,0.03174349823389494,0.6815050900841446,0.06451663341056468,0.2887143167887982,0.0293589631180784,0.7919927739119363,0.05364785402787518,10880.0,0.0
sva_tcn_margin,extrapolation,0.5,0.81625,0.041690670709661815,0.32153162395525264,0.03195031649388991,0.6572516598148905,0.05607697476494429,0.2821520469403979,0.026508008124554623,0.7746705467153853,0.04582293657985614,13600.0,0.0
sva_tcn_margin,interpolation,0.01,0.9647727272727273,0.04835357465398172,0.7338383838383838,0.22402676407368016,0.6987650769414664,0.3716706476450762,0.7311492909732409,0.22643643750225745,0.949503295082527,0.06963342135104343,80.0,0.0
sva_tcn_margin,interpolation,0.02,0.9522727272727273,0.04185846009850558,0.6244304565964668,0.09694340504904107,0.8015911385355075,0.1523918317617354,0.6025622943031839,0.1132850718846634,0.9340843916271537,0.06071706568168041,160.0,0.0
sva_tcn_margin,interpolation,0.03,0.9412878787878788,0.04279531976676182,0.595935534774927,0.08926138860157788,0.7745904710413375,0.1438698843446056,0.5700414379098848,0.10009359682327167,0.9213363902354067,0.05815113280438438,240.0,0.0
sva_tcn_margin,interpolation,0.05,0.923409090909091,0.0498406551832027,0.5591873179775533,0.14073757458960176,0.745303017746084,0.15901695871201818,0.5375561526791395,0.14684434780778718,0.9041799422836757,0.06043323692966463,400.0,0.0
sva_tcn_margin,interpolation,0.08,0.9134943181818183,0.04853454355006994,0.5436922439360642,0.09456165973227132,0.7343230151867569,0.14217258580307704,0.531185959423614,0.10862324626581432,0.8963717901459713,0.054535932111081535,640.0,0.0
sva_tcn_margin,interpolation,0.1,0.9051136363636364,0.049738235246684664,0.5399570670673639,0.10485473458627145,0.7326093697763109,0.11989107658427609,0.5205539145493757,0.10782141342958487,0.8884831256396238,0.052896363949099585,800.0,0.0
sva_tcn_margin,interpolation,0.2,0.8698295454545455,0.044692605398127416,0.5461678169554479,0.08581004076171303,0.6885488126497494,0.07423151377899838,0.5258371343746856,0.08764313429804206,0.861791783867866,0.04119909023026653,1600.0,0.0
sva_tcn_margin,interpolation,0.3,0.8420454545454544,0.04381798469610719,0.5361539319680252,0.06798481087141789,0.6533477391043058,0.06170513849301826,0.5086476213431046,0.08215426598909396,0.8390888425450314,0.039035787024596084,2400.0,0.0
sva_tcn_margin,interpolation,0.4,0.8168465909090908,0.04365848789572207,0.5156122537511049,0.0654129972490765,0.6205694217582362,0.05248253274040672,0.4818246681007991,0.06474130624491617,0.8163565970329665,0.03909830248224808,3200.0,0.0
sva_tcn_margin,interpolation,0.5,0.7909772727272727,0.04473679337880828,0.5091971438149151,0.06646897106124434,0.5871606655162244,0.054746964298733075,0.47295951970217504,0.06655622530346307,0.7934914867709008,0.03908933712685462,4000.0,0.0
